name	RA	Dec	vmag	epoch	epoch_uncertainty	period	period_uncertainty	duration	comments	depth	0.0	0.0	0.0	0.0
CoRoT-1 b	06:48:19.17	-03:06:07.7	13.600	2454138.304000	3.6E-05	1.50897655	1E-07	2.56	Duration estimated. 	19.3	0.04129783075543991	76.8	0.00471244864183022	4.095535350493341
CoRoT-11 b	18:42:44.94	+05:56:15.7	12.939	2454597.679000	0.0003	2.99433000	1.1E-05	2.50		11.4	0.02426556868942912	75.0	0.002801946522976251	4.068600134413281
CoRoT-2 b	19:27:06.49	+01:23:01.4	12.570	2455628.447600	0.00014	1.74299673	3.1E-07	2.27		27.5	0.018568899765430233	68.1	0.0022501559368335953	12.221375216642905
HAT-P-16 b	00:38:17.56	+42:27:47.1	10.812	2455027.592900	0.00019	2.77597024	6.6E-07	3.06		11.5	0.007754024149078266	91.8	0.0008092930459689445	14.20993304870347
HAT-P-20 b	07:27:39.95	+24:20:11.9	11.339	2455598.484800	0.00032	2.87531860	2E-07	1.85		9.9	0.00935425807603076	55.5	0.0012556333899525467	7.884466978354363
HAT-P-23 b	20:24:29.72	+16:45:43.7	12.432	2454852.266000	0.0002	1.21288287	1.7E-07	2.18		14.0	0.01691128655959057	65.4	0.0020911624625942213	6.6948409080718205
HAT-P-3 b	13:44:22.59	+48:01:43.2	11.577	2457150.394700	0.00058	2.89973838	2.7E-07	2.09		12.0	0.010393264076234324	62.699999999999996	0.0013125570582772923	9.142459692952157
HAT-P-30 b	08:15:47.97	+05:50:12.2	10.419	2455456.466200	0.00013	2.81060840	1.1E-06	2.13		13.0	0.0069945385457924805	63.9	0.000875001180134029	14.857122818975757
HAT-P-32 b	02:04:10.28	+46:41:16.2	11.289	2455867.402700	4.9E-05	2.15000820	1.3E-07	3.12		22.2	0.009164888578327483	93.60000000000001	0.0009473037686270977	23.434932632194503
HAT-P-36 b	12:33:03.90	+44:54:55.3	12.262	2456698.735900	0.000149	1.32734660	3.3E-07	2.23		15.9	0.015152453313953627	66.9	0.0018525498181083165	8.582765140554155
HAT-P-37 b	18:57:11.06	+51:16:08.9	13.230	2455642.143800	0.000156	2.79744710	1.1E-06	2.33		19.0	0.03044414000441813	69.9	0.0036413726220162197	5.217812614156401
HAT-P-41 b	19:49:17.44	+04:40:20.7	11.087	2454983.861700	0.00107	2.69404700	4E-06	4.09		7.7	0.008486987012913647	122.69999999999999	0.0007661807851790243	10.049847436725829
HAT-P-49 b	20:21:45.94	+26:41:33.5	10.326	2456399.624800	0.00063	2.69154800	6E-06	4.11		6.3	0.006853427311068796	123.30000000000001	0.0006172005048311754	10.207379855794604
HAT-P-5 b	18:17:37.31	+36:37:17.1	12.000	2455432.455100	0.0001	2.78847360	5.2E-07	2.92		12.0	0.012951598052161506	87.6	0.0013837935586885658	8.671813743209293
HAT-P-56 b	06:43:23.53	+27:15:08.3	10.908	2456553.616400	0.0003	2.79083300	4E-06	2.30		11.0	0.007987968328912205	69.0	0.0009616383816982019	11.438811313432174
HAT-P-57 b	18:18:58.42	+10:35:50.3	10.465	2455113.481300	0.00048	2.46529500	3.2E-06	3.50		9.4	0.007069193353414062	105.0	0.000689882630928407	13.625506105799452
HAT-P-7 b	19:28:59.35	+47:58:10.2	10.463	2454954.358500	1.4E-05	2.20473540	2E-08	4.04	 Mag is Kepler band. 	6.7	0.007065877623862491	121.2	0.000641822298614153	10.439026525670569
K2-260 b	05:07:28.16	+16:52:03.8	12.689	2457820.738100	9E-05	2.62666570	1.8E-06	4.17		9.5	0.020188105151066546	125.1	0.001804957179654921	5.263282756556168
KELT-1 b	00:01:26.91	+39:23:01.7	10.701	2456093.134600	0.00019	1.21749448	8E-07	2.72		6.1	0.0075093803737363695	81.60000000000001	0.0008313023800204466	7.337883478512314
KELT-1 b	00:01:26.91	+39:23:01.7	10.701	2456093.134600	0.00019	1.21749448	8E-07	2.72		6.1	0.0075093803737363695	81.60000000000001	0.0008313023800204466	7.337883478512314
KELT-16 b	20:57:04.44	+31:39:39.7	11.898	2457247.247900	0.00019	0.96899510	2.4E-06	2.49		11.5	0.012235320540159671	74.7	0.0014156472529737475	8.1234926114841
KELT-18 b	14:26:05.76	+59:26:39.4	10.117	2457542.525000	0.00039	2.87175180	2.8E-06	4.64		7.2	0.00657921129809381	139.2	0.0005576403829808886	12.911546974973577
KELT-3 b	09:54:34.40	+40:23:17.0	9.873	2456269.489900	0.00029	2.70338500	1.8E-06	3.15		8.9	0.006322165069389655	94.5	0.0006503541661467634	13.684851213810115
KELT-7 b	05:13:10.93	+33:19:05.4	8.540	2456355.229300	0.0001	2.73478000	3E-06	3.51		8.3	0.005624581248597861	105.3	0.000548120454369633	15.142656935774147
KELT-9 b	20:31:26.35	+39:56:19.8	7.550	2457095.685700	0.00014	1.48112350	1.1E-06	3.92		6.8	0.005462081904807553	117.6	0.0005036798155462033	13.500640268115381
Qatar-1 b	20:13:31.60	+65:09:43.3	12.843	2456234.103200	6.1E-05	1.42002420	2.2E-07	1.66		21.4	0.022581694795856765	49.8	0.00319994019727385	6.68762498068916
Qatar-3 b	23:56:36.48	+36:12:46.7	12.880	2457312.484600	0.0001	2.50789520	3.2E-06	3.11		7.9	0.023212151524967767	93.3	0.0024031151148633536	3.287399738422107
Qatar-4 b	00:19:26.22	+44:01:39.5	13.600	2457872.471700	0.00046	1.80537040	4.2E-06	2.14		19.0	0.04129783075543991	64.2	0.005154181717410601	3.6863271498206647
Qatar-5 b	00:28:12.94	+42:03:40.8	12.820	2457362.672000	9E-05	2.87931050	2.5E-06	2.91		11.3	0.022201062760271503	87.30000000000001	0.0023761105504707856	4.755670984147224
TrES-2 b	19:07:14.03	+49:18:59.0	11.411	2454955.763300	6E-06	2.47061338	1E-08	1.86		14.2	0.00964363496950189	55.800000000000004	0.001290992334730663	10.999290714582372
TrES-3 b	17:52:07.02	+37:32:46.2	12.402	2454185.911000	5E-05	1.30618648	7E-08	1.37		27.4	0.016579420711795245	41.1	0.0025861186200089154	10.59502831308857
WASP-103 b	16:37:15.57	+07:11:00.1	12.100	2456836.296400	5.5E-05	0.92554560	1.3E-06	2.59		12.0	0.013726241721538787	77.69999999999999	0.001557188304501777	7.706197102372538
WASP-104 b	10:42:24.58	+07:26:06.1	11.120	2456406.112100	0.00012	1.75541370	3E-06	1.76		14.7	0.00858884307864118	52.8	0.0011820006267425345	12.436541629010472
WASP-114 b	21:50:39.46	+10:27:48.5	12.743	2456667.735800	0.00021	1.54877430	0.00000120	2.78		9.3	0.020986953784222113	83.39999999999999	0.0022980865493410574	4.046844973121939
WASP-12 b	06:30:32.79	+29:40:20.2	11.690	2456176.668300	7.8E-05	1.09142030	1.4E-07	3.00		13.9	0.010977302049424629	90.0	0.0011571092346605357	12.012694725470652
WASP-121 b	07:10:24.07	-39:05:50.6	10.440	2456635.708300	0.000110	1.27492550	2.5E-07	2.89		15.5	0.007028206358963507	86.7	0.0007548053258050124	20.535096229572826
WASP-123 b	19:17:54.88	-32:51:40.1	11.100	2456845.170800	0.00039	2.97764120	2.3E-06	3.09		11.1	0.00852672263522606	92.69999999999999	0.0008856095049358694	12.533740817070157
WASP-135 b	17:49:08.39	+29:52:44.8	13.280	2455230.990200	0.0009	1.40137940	8E-07	1.66		19.4	0.03169302438996122	49.8	0.004491061615854669	4.3196913468104565
WASP-14 b	14:33:06.35	+21:53:41.0	9.750	2456034.212600	0.00015	2.24376524	4.4E-07	3.06		10.0	0.006213941806099618	91.8	0.0006485535503948512	15.41892723262685
WASP-140 b	04:01:32.55	-20:27:03.9	11.100	2456912.351100	0.00015	2.23598350	8E-07	1.51		20.5	0.00852672263522606	45.3	0.0012668728677701622	16.181576321925885
WASP-142 b	09:22:01.53	-23:56:46.2	12.300	2457007.777900	0.0004	2.05286800	2E-06	2.68		9.2	0.015520781096475263	80.4	0.0017309540903054225	5.314987873755036
WASP-173 A b	23:36:40.38	-34:36:40.6	11.102	2457288.858500	0.0002	1.38665318	2.7E-07	2.30		12.3	0.008532880487533121	69.0	0.001027238096770589	11.973854979355322
WASP-18 b	01:37:25.03	-45:40:40.4	9.303	2458375.169900	0.000026	0.94145260	0.00000160	2.14		9.4	0.005913619394271366	64.2	0.0007380501205057435	12.736262401202127
WASP-2 b	20:30:54.13	+06:25:46.3	11.880	2455894.079200	0.00015	2.15222163	4.2E-07	1.79		16.5	0.012116125553682862	53.7	0.0016533950086446154	9.979466439496521
WASP-24 b	15:08:51.74	+02:20:35.9	11.306	2455687.756200	0.00016	2.34122170	8E-07	2.68		10.0	0.009228244501265198	80.4	0.0010291793606593102	9.71647934485766
WASP-3 b	18:34:31.63	+35:39:41.5	10.500	2454143.851100	0.00024	1.84683510	4E-07	2.79		11.0	0.0071282741124112595	83.7	0.000779151054578205	14.117929938444185
WASP-32 b	00:15:50.80	+01:12:01.6	11.300	2455849.750000	0.00037	2.71865910	2.4E-06	2.42		11.0	0.009205763971604178	72.6	0.0010804172894284616	10.181251362442538
WASP-33 b	02:26:51.06	+37:33:01.7	8.142	2455507.522200	0.0003	1.21986750	1.1E-06	2.85		12.5	0.005540226536239988	85.5	0.0005991622813968086	20.862461453446528
WASP-4 b	23:34:15.08	-42:03:41.1	12.500	2455804.515800	1.9E-05	1.33823147	2E-08	2.16		23.1	0.01770031860674448	64.80000000000001	0.0021988397571158346	10.505540444793358
WASP-43 b	10:19:38.01	-09:48:22.6	12.400	2455528.868600	4.6E-05	0.81347398	4E-08	1.16		25.5	0.016557638444583366	34.8	0.002806782583855206	9.085135466736055
WASP-44 b	00:15:36.76	-11:56:17.2	12.900	2455434.376600	0.0002	2.42381200	1.2E-06	2.24		15.6	0.023562496275191663	67.2	0.0028743302292261355	5.427351332626813
WASP-48 b	19:24:38.96	+55:28:23.4	11.720	2455364.552400	0.00024	2.14363544	5.8E-07	3.18		9.6	0.011143435901415965	95.4	0.0011408930431653277	8.414460985199343
WASP-49 b	06:04:21.46	-16:57:55.1	11.360	2456267.683900	0.00013	2.78173620	1.4E-06	2.14		13.4	0.009436578414129447	64.2	0.0011777335285488512	11.377785955122516
WASP-5 b	23:57:23.76	-41:16:37.7	12.300	2456446.988700	0.00017	1.62842953	5.2E-07	2.37		11.8	0.015520781096475263	71.10000000000001	0.0018406820337671704	6.4106672328679855
WASP-50 b	02:54:45.14	-10:53:53.1	11.600	2455558.612400	0.0002	1.95509380	1.3E-06	1.83		19.3	0.01050699766964908	54.900000000000006	0.0014180530023544756	13.6102105971745
WASP-52 b	23:13:58.74	+08:45:40.5	12.000	2455793.681300	0.00049	1.74978280	6E-07	1.81		27.1	0.012951598052161506	54.300000000000004	0.0017576137562358928	15.418632167534572
WASP-64 b	06:44:27.61	-32:51:30.2	12.290	2455582.601700	0.00027	1.57329180	1.5E-06	2.40		15.2	0.015422530157904128	72.0	0.0018175626096180075	8.362848090935666
WASP-65 b	08:53:17.83	+08:31:22.9	11.900	2456110.687700	0.00015	2.31142430	1.5E-06	2.74		12.8	0.012248693593541856	82.2	0.001350995374007513	9.474495802328942
WASP-74 b	20:18:09.32	-01:04:32.4	9.700	2456506.892600	0.0002	2.13775000	1E-06	2.29		9.6	0.006173515709914575	68.7	0.0007448249036693694	12.888935309098466
WASP-75 b	22:49:32.57	-10:40:32.0	11.450	2456016.266900	0.0003	2.48419300	3E-06	1.97		10.7	0.009809043351689901	59.1	0.0012759478178052423	8.385922880768799
WASP-76 b	01:46:31.86	+02:42:01.9	9.500	2456107.855100	0.00034	1.80988600	1E-06	3.69		11.9	0.0060300971472285955	110.7	0.0005731265115475054	20.76330401793607
WASP-77 A b	02:28:37.23	-07:03:38.5	10.300	2455870.449800	0.00014	1.36003060	1.2E-06	2.16		17.0	0.006816204997522082	64.80000000000001	0.0008467498735018421	20.076767097341666
WASP-78 b	04:15:01.50	-22:06:59.2	12.000	2456139.030300	0.0005	2.17517300	3E-06	2.19		8.2	0.012951598052161506	65.7	0.0015978671672234272	5.1318408489792855
WASP-82 b	04:50:38.56	+01:53:38.1	10.100	2456931.844400	0.0008	2.70578500	2E-06	4.99		6.3	0.006559260433947658	149.70000000000002	0.0005360977378283592	11.751588479966786
WASP-85 A b	11:43:38.01	+06:33:49.4	10.720	2456847.472900	1.4E-05	2.65567770	4.4E-07	2.60		18.7	0.007549406706583677	78.0	0.0008548019835281886	21.87641156705778
WASP-91 b	23:51:22.89	-70:09:10.2	12.000	2456297.719000	0.0002	2.79858100	3E-06	2.34		15.0	0.012951598052161506	70.19999999999999	0.001545805334622167	9.703679799802458
