X0	Y0	X1	Y1	X2	Y2	X3	Y3
69.3842	309.0000	0.7165	9251.2500	0	9251.2500	63	-2429.4534
68.6866	99.0000	1.6298	8099.5557	36	9251.2500	63	9251.2500
67.9966	297.0000	2.5710	6615.4375	36	-2429.4534	95	9251.2500
67.3143	246.0000	3.5678	5401.9565			95	-2429.4534
66.6401	270.0000	4.5661	4078.7036				
65.9742	110.0000	5.5414	3388.6667				
65.3167	108.0000	6.5535	2905.8501				
64.6681	-87.0000	7.5419	2477.2917				
64.0285	278.0000	8.5210	2107.6863				
63.3982	39.0000	9.5169	1792.9016				
62.7775	72.0000	10.5290	1666.5588				
62.1667	126.0000	11.5427	1465.1831				
61.5661	252.0000	12.5336	1320.4125				
60.9760	242.0000	13.5259	1197.0488				
60.3966	56.0000	14.5218	1144.8817				
59.8284	231.0000	15.5213	1027.3196				
59.2716	157.0000	16.5263	923.3365				
58.7266	208.0000	17.5262	880.8919				
58.1936	200.0000	18.5227	840.4211				
57.6730	143.0000	19.5225	773.3280				
57.1652	13.0000	20.5239	737.7500				
56.6705	93.0000	21.5223	703.4403				
56.1893	474.0000	22.5137	672.0775				
55.7218	163.0000	23.5233	632.3221				
55.2685	319.0000	24.5350	637.1911				
54.8296	361.0000	25.5171	583.1250				
54.4056	206.0000	26.5118	548.2617				
53.9968	274.0000	27.5145	527.9588				
53.6036	526.0000	28.5101	495.2458				
53.2262	351.0000	29.5162	478.2592				
52.8651	341.0000	30.5175	448.8245				
52.5205	224.0000	31.5207	424.6306				
52.1928	161.0000	32.5226	409.7711				
51.8823	140.0000	33.5163	379.0428				
51.5893	234.0000	34.5211	371.5520				
51.3141	230.0000	35.5258	360.2318				
51.0571	267.0000	36.5231	335.8103				
50.8184	284.0000	37.5155	342.6913				
50.5984	326.0000	38.5063	323.3141				
50.3972	278.0000	39.5066	319.6080				
50.2152	220.0000	40.5085	292.5079				
50.0525	273.0000	41.5164	308.6952				
49.9093	427.0000	42.5182	280.9035				
49.7857	285.0000	43.5170	274.0249				
49.6820	374.0000	44.5272	242.0430				
49.5983	342.0000	45.5191	247.2429				
49.5346	327.0000	46.5146	241.5235				
49.4910	172.0000	47.5185	236.6962				
49.4676	251.0000	48.5034	236.1395				
49.4644	35.0000						
49.4814	271.0000						
49.5187	145.0000						
49.5760	119.0000						
49.6535	460.0000						
49.7509	335.0000						
49.8682	233.0000						
50.0052	466.0000						
50.1618	310.0000						
50.3378	340.0000						
50.5329	183.0000						
50.7471	209.0000						
50.9799	157.0000						
51.2312	205.0000						
51.5007	17.0000						
51.7881	441.0000						
52.0931	319.0000						
52.4154	198.0000						
52.7547	72.0000						
53.1107	146.0000						
53.4830	377.0000						
53.8713	203.0000						
54.2752	116.0000						
54.6945	296.0000						
55.1287	151.0000						
55.5775	58.0000						
56.0405	225.0000						
56.5175	150.0000						
57.0080	-95.0000						
57.5117	152.0000						
58.0283	202.0000						
58.5574	137.0000						
59.0986	-84.0000						
59.6518	405.0000						
60.2164	-108.0000						
60.7923	-29.0000						
61.3791	34.0000						
61.9764	78.0000						
62.5840	69.0000						
63.2016	40.0000						
63.8289	286.0000						
64.4656	95.0000						
65.1114	138.0000						
65.7661	151.0000						
66.4294	34.0000						
67.1011	19.0000						
67.7808	35.0000						
68.4684	56.0000						
69.1636	154.0000						
69.8662	86.0000						
68.6749	211.0000						
67.9700	280.0000						
67.2726	-21.0000						
66.5830	240.0000						
65.9013	376.0000						
65.2278	56.0000						
64.5627	180.0000						
63.9064	57.0000						
63.2591	412.0000						
62.6211	378.0000						
61.9926	366.0000						
61.3740	333.0000						
60.7656	116.0000						
60.1676	290.0000						
59.5804	186.0000						
59.0043	30.0000						
58.4397	110.0000						
57.8868	17.0000						
57.3460	363.0000						
56.8177	183.0000						
56.3022	-33.0000						
55.7998	408.0000						
55.3110	117.0000						
54.8361	314.0000						
54.3753	134.0000						
53.9292	294.0000						
53.4981	277.0000						
53.0823	433.0000						
52.6822	274.0000						
52.2982	383.0000						
51.9306	487.0000						
51.5798	348.0000						
51.2460	268.0000						
50.9298	354.0000						
50.6313	524.0000						
50.3509	-4.0000						
50.0889	279.0000						
49.8456	221.0000						
49.6212	-8.0000						
49.4161	260.0000						
49.2304	458.0000						
49.0645	-116.0000						
48.9184	249.0000						
48.7923	-28.0000						
48.6865	369.0000						
48.6011	253.0000						
48.5360	574.0000						
48.4916	293.0000						
48.4677	160.0000						
48.4644	509.0000						
48.4818	281.0000						
48.5198	231.0000						
48.5784	108.0000						
48.6574	498.0000						
48.7568	197.0000						
48.8765	303.0000						
49.0163	236.0000						
49.1760	355.0000						
49.3555	36.0000						
49.5545	301.0000						
49.7729	110.0000						
50.0102	200.0000						
50.2664	162.0000						
50.5410	446.0000						
50.8338	61.0000						
51.1445	160.0000						
51.4728	349.0000						
51.8183	-15.0000						
52.1806	337.0000						
52.5595	171.0000						
52.9546	164.0000						
53.3655	321.0000						
53.7918	179.0000						
54.2332	339.0000						
54.6894	182.0000						
55.1599	221.0000						
55.6444	37.0000						
56.1425	62.0000						
56.6539	243.0000						
57.1782	208.0000						
57.7151	55.0000						
58.2642	368.0000						
58.8252	66.0000						
59.3977	249.0000						
59.9815	175.0000						
60.5761	284.0000						
61.1813	320.0000						
61.7967	165.0000						
62.4221	209.0000						
63.0571	312.0000						
63.7015	102.0000						
64.3550	195.0000						
65.0174	325.0000						
65.6882	92.0000						
66.3674	310.0000						
67.0545	254.0000						
67.7495	-64.0000						
68.4520	169.0000						
69.1619	201.0000						
67.9729	319.0000						
67.2607	104.0000						
66.5559	179.0000						
65.8587	-18.0000						
65.1694	-59.0000						
64.4883	34.0000						
63.8155	356.0000						
63.1515	279.0000						
62.4963	210.0000						
61.8504	306.0000						
61.2141	304.0000						
60.5875	148.0000						
59.9711	342.0000						
59.3651	298.0000						
58.7699	231.0000						
58.1858	457.0000						
57.6131	296.0000						
57.0522	141.0000						
