X0	Y0	X1	Y1	X2	Y2	X3	Y3
43.8073	2727.0000	0.6475	7748.0000	0	7748.0000	44	-1811.0138
43.1026	2502.0000	1.4648	7392.6250	25	7748.0000	44	7748.0000
42.4098	2432.0000	2.4823	6863.3530	25	-1811.0138	66	7748.0000
41.7294	2608.0000	3.5077	6201.3638			66	-1811.0138
41.0621	2645.0000	4.4910	5700.8887				
40.4086	2647.0000	5.4883	5233.4165				
39.7695	2682.0000	6.4895	4861.3848				
39.1455	2734.0000	7.4798	4579.0625				
38.5373	2651.0000	8.4746	4292.0771				
37.9458	2757.0000	9.4736	4080.8333				
37.3716	2632.0000	10.4889	3888.8381				
36.8157	2949.0000	11.4985	3722.0142				
36.2788	2567.0000	12.4840	3610.2180				
35.7618	2758.0000	13.4842	3501.3176				
35.2656	2790.0000	14.4940	3390.5979				
34.7910	2758.0000	15.4924	3294.9690				
34.3391	2630.0000	16.4966	3235.1538				
33.9106	2643.0000	17.4944	3175.6272				
33.5065	2888.0000	18.4833	3091.5310				
33.1276	2800.0000	19.4821	3047.6799				
32.7749	2838.0000	20.4788	2994.5317				
32.4492	2801.0000	21.4842	2960.6016				
32.1513	2615.0000	22.4863	2927.9644				
31.8820	2791.0000	23.4930	2874.1001				
31.6421	2681.0000	24.5023	2857.9226				
31.4321	2828.0000	25.4922	2829.1218				
31.2527	2762.0000	26.4782	2794.6726				
31.1045	2797.0000	27.4786	2769.7144				
30.9878	2860.0000	28.4957	2734.7417				
30.9031	2670.0000	29.5028	2721.5752				
30.8506	2936.0000	30.4872	2707.4673				
30.8304	2900.0000						
30.8426	2725.0000						
30.8873	2691.0000						
30.9642	2751.0000						
31.0731	2747.0000						
31.2137	2426.0000						
31.3855	2497.0000						
31.5881	2853.0000						
31.8208	2548.0000						
32.0830	2874.0000						
32.3740	2566.0000						
32.6930	2605.0000						
33.0392	2469.0000						
33.4117	2725.0000						
33.8097	2434.0000						
34.2323	2599.0000						
34.6787	2358.0000						
35.1478	2769.0000						
35.6388	2492.0000						
36.1508	2582.0000						
36.6829	2662.0000						
37.2343	2537.0000						
37.8040	2580.0000						
38.3914	2483.0000						
38.9956	2485.0000						
39.6158	2531.0000						
40.2513	2334.0000						
40.9014	2445.0000						
41.5654	2383.0000						
42.2426	2292.0000						
42.9324	2631.0000						
43.6343	2506.0000						
43.1093	2521.0000						
42.3931	2452.0000						
41.6885	2642.0000						
40.9961	2664.0000						
40.3167	2771.0000						
39.6509	2488.0000						
38.9994	2616.0000						
38.3628	2629.0000						
37.7421	2676.0000						
37.1378	2686.0000						
36.5510	2803.0000						
35.9824	2813.0000						
35.4329	2650.0000						
34.9034	2855.0000						
34.3948	2886.0000						
33.9081	2693.0000						
33.4442	2845.0000						
33.0041	2784.0000						
32.5887	2859.0000						
32.1991	2874.0000						
31.8361	2567.0000						
31.5007	2911.0000						
31.1937	2777.0000						
30.9161	2903.0000						
30.6686	2956.0000						
30.4519	2704.0000						
30.2667	2753.0000						
30.1136	2848.0000						
29.9931	2697.0000						
29.9055	2702.0000						
29.8512	2723.0000						
29.8304	2734.0000						
29.8431	2789.0000						
29.8892	2753.0000						
29.9687	2701.0000						
30.0812	2814.0000						
30.2264	2551.0000						
30.4038	2636.0000						
30.6128	2761.0000						
30.8529	2792.0000						
31.1233	2654.0000						
31.4231	2659.0000						
31.7517	2564.0000						
32.1080	2589.0000						
32.4912	2647.0000						
32.9004	2690.0000						
33.3346	2535.0000						
33.7927	2535.0000						
34.2740	2608.0000						
34.7773	2401.0000						
35.3018	2376.0000						
35.8465	2670.0000						
36.4106	2652.0000						
36.9930	2516.0000						
37.5931	2459.0000						
38.2099	2345.0000						
38.8427	2619.0000						
