X0	Y0	X1	Y1	X2	Y2	X3	Y3
44.0880	2799.0000	0.6629	16616.0000	0	16616.0000	44	-4036.5281
43.3841	3022.0000	1.5259	15167.2227	25	16616.0000	44	16616.0000
42.6920	3000.0000	2.5061	13153.3750	25	-4036.5281	66	16616.0000
42.0123	2936.0000	3.5116	11170.0908			66	-4036.5281
41.3457	2922.0000	4.5001	9708.5361				
40.6927	2996.0000	5.4804	8510.0605				
40.0540	3198.0000	6.4907	7726.6978				
39.4303	3017.0000	7.5196	6991.2085				
38.8224	3159.0000	8.5141	6437.7310				
38.2310	3062.0000	9.4761	5953.6313				
37.6568	3334.0000	10.4713	5590.5225				
37.1007	3373.0000	11.4955	5221.1465				
36.5635	3194.0000	12.5043	4929.7793				
36.0461	3262.0000	13.4973	4720.9175				
35.5492	3228.0000	14.4861	4542.2808				
35.0739	3323.0000	15.4849	4361.5557				
34.6209	3290.0000	16.4970	4200.6191				
34.1911	3174.0000	17.5024	4033.0825				
33.7855	3219.0000	18.4973	3949.3276				
33.4050	3309.0000	19.4969	3846.8049				
33.0503	3549.0000	20.4913	3746.6692				
32.7223	3292.0000	21.4874	3684.8235				
32.4218	3350.0000	22.4824	3592.4348				
32.1497	3295.0000	23.4893	3543.1831				
31.9066	3084.0000	24.4968	3458.0000				
31.6932	3195.0000	25.4899	3414.6274				
31.5102	3186.0000	26.4812	3350.1780				
31.3579	3217.0000	27.4840	3288.5342				
31.2369	3251.0000	28.5037	3268.5271				
31.1476	3299.0000	29.5098	3191.2966				
31.0902	3194.0000	30.4669	3161.2500				
31.0650	3212.0000						
31.0719	3271.0000						
31.1109	3175.0000						
31.1820	3026.0000						
31.2849	3176.0000						
31.4193	3064.0000						
31.5848	3074.0000						
31.7810	2930.0000						
32.0072	3191.0000						
32.2628	2984.0000						
32.5471	2880.0000						
32.8595	2854.0000						
33.1990	3057.0000						
33.5649	3087.0000						
33.9563	2953.0000						
34.3723	2765.0000						
34.8122	2906.0000						
35.2748	2780.0000						
35.7595	2926.0000						
36.2653	2961.0000						
36.7913	2612.0000						
37.3367	2757.0000						
37.9006	2577.0000						
38.4823	2750.0000						
39.0809	2770.0000						
39.6956	2922.0000						
40.3258	2843.0000						
40.9707	2712.0000						
41.6296	2665.0000						
42.3020	2619.0000						
42.9870	2663.0000						
43.6842	2626.0000						
43.3892	2720.0000						
42.6738	2790.0000						
41.9700	3007.0000						
41.2784	3024.0000						
40.5997	2959.0000						
39.9345	3059.0000						
39.2835	2900.0000						
38.6474	2864.0000						
38.0270	3058.0000						
37.4230	3266.0000						
36.8362	3305.0000						
36.2676	3178.0000						
35.7178	3142.0000						
35.1880	3457.0000						
34.6788	3306.0000						
34.1914	3372.0000						
33.7265	3257.0000						
33.2852	3290.0000						
32.8685	3371.0000						
32.4771	3349.0000						
32.1122	3358.0000						
31.7745	3303.0000						
31.4650	3365.0000						
31.1846	3419.0000						
30.9339	3326.0000						
30.7137	3357.0000						
30.5248	3423.0000						
30.3676	3287.0000						
30.2427	3384.0000						
30.1504	3206.0000						
30.0911	3331.0000						
30.0650	3101.0000						
30.0721	3211.0000						
30.1125	3229.0000						
30.1859	2997.0000						
30.2922	3215.0000						
30.4310	3216.0000						
30.6019	3177.0000						
30.8043	3252.0000						
31.0376	3134.0000						
31.3011	3084.0000						
31.5941	3230.0000						
31.9158	2995.0000						
32.2652	2984.0000						
32.6416	2927.0000						
33.0439	2901.0000						
33.4713	2944.0000						
33.9228	2936.0000						
34.3975	2888.0000						
34.8944	2852.0000						
35.4125	2790.0000						
35.9510	2593.0000						
36.5089	2789.0000						
37.0854	2700.0000						
37.6797	2801.0000						
38.2908	2895.0000						
38.9180	2717.0000						
39.5606	2679.0000						
40.2178	2654.0000						
40.8889	2588.0000						
41.5732	2711.0000						
42.2700	2762.0000						
42.9789	2649.0000						
42.7024	2875.0000						
41.9753	2872.0000						
41.2596	2914.0000						
40.5559	2933.0000						
39.8649	3101.0000						
39.1872	2985.0000						
38.5236	2862.0000						
37.8747	3096.0000						
37.2414	3174.0000						
36.6245	3086.0000						
36.0247	3238.0000						
35.4430	3036.0000						
34.8803	3180.0000						
34.3375	3475.0000						
33.8156	3243.0000						
33.3155	3644.0000						
32.8383	3218.0000						
32.3849	3477.0000						
31.9563	3156.0000						
31.5537	3382.0000						
31.1780	3344.0000						
30.8301	3611.0000						
30.5110	3366.0000						
30.2217	3373.0000						
29.9629	3340.0000						
29.7356	3408.0000						
29.5404	3269.0000						
29.3779	3118.0000						
29.2488	3479.0000						
29.1534	3341.0000						
29.0921	3258.0000						
29.0651	3129.0000						
29.0724	3272.0000						
29.1142	3430.0000						
29.1901	3073.0000						
29.3000	3273.0000						
29.4435	3084.0000						
29.6201	3063.0000						
29.8291	3199.0000						
30.0700	3126.0000						
30.3419	3124.0000						
30.6441	2905.0000						
30.9756	2996.0000						
31.3356	3110.0000						
31.7230	3021.0000						
32.1368	3027.0000						
32.5761	2728.0000						
33.0398	2870.0000						
33.5270	2766.0000						
34.0366	2899.0000						
34.5676	2979.0000						
35.1190	2691.0000						
35.6900	2701.0000						
36.2795	2807.0000						
36.8867	2740.0000						
37.5108	2566.0000						
38.1508	2709.0000						
38.8061	2833.0000						
39.4759	2729.0000						
40.1593	2780.0000						
40.8559	2910.0000						
41.5648	2720.0000						
42.2854	2658.0000						
42.0282	2753.0000						
41.2892	2903.0000						
40.5614	2899.0000						
39.8454	2878.0000						
39.1418	3032.0000						
38.4514	3039.0000						
37.7749	2812.0000						
37.1129	3091.0000						
36.4664	3145.0000						
35.8361	3314.0000						
35.2229	3165.0000						
34.6278	3186.0000						
34.0516	3227.0000						
33.4953	3482.0000						
32.9601	3112.0000						
32.4468	3334.0000						
31.9566	3456.0000						
31.4905	3519.0000						
31.0496	3436.0000						
30.6351	3273.0000						
30.2479	3374.0000						
29.8892	3566.0000						
29.5600	3570.0000						
29.2613	3581.0000						
28.9940	3634.0000						
28.7590	3620.0000						
28.5571	3416.0000						
28.3890	3523.0000						
28.2553	3427.0000						
28.1566	3594.0000						
28.0931	3313.0000						
28.0651	3256.0000						
28.0727	3526.0000						
28.1160	3336.0000						
28.1946	3341.0000						
28.3084	3302.0000						
28.4568	3303.0000						
28.6395	3199.0000						
28.8557	3213.0000						
29.1046	3135.0000						
29.3855	3070.0000						
29.6974	3199.0000						
30.0393	3062.0000						
30.4104	3060.0000						
30.8094	2947.0000						
31.2354	3122.0000						
31.6872	3004.0000						
32.1637	2867.0000						
32.6639	2950.0000						
33.1868	2938.0000						
33.7311	2795.0000						
34.2960	2685.0000						
34.8805	2626.0000						
35.4834	2785.0000						
36.1041	2800.0000						
36.7414	2833.0000						
37.3947	2716.0000						
38.0630	2907.0000						
38.7455	2734.0000						
39.4417	2737.0000						
40.1506	2743.0000						
40.8718	2619.0000						
41.6045	2620.0000						
41.3672	2731.0000						
40.6161	2966.0000						
39.8760	2921.0000						
39.1475	3088.0000						
38.4312	3063.0000						
37.7278	3068.0000						
37.0380	3117.0000						
36.3626	3050.0000						
35.7025	3021.0000						
35.0585	3309.0000						
34.4315	3255.0000						
33.8224	3276.0000						
33.2323	3467.0000						
32.6621	3299.0000						
32.1129	3346.0000						
31.5859	3548.0000						
31.0821	3566.0000						
30.6027	3448.0000						
30.1489	3443.0000						
29.7217	3372.0000						
29.3225	3620.0000						
28.9523	3688.0000						
28.6124	3781.0000						
28.3036	3642.0000						
28.0272	3478.0000						
27.7840	3514.0000						
27.5750	3587.0000						
27.4009	3459.0000						
27.2624	3393.0000						
27.1600	3272.0000						
27.0942	3144.0000						
27.0652	3408.0000						
27.0731	3390.0000						
27.1179	3377.0000						
27.1994	3564.0000						
27.3173	3425.0000						
27.4712	3325.0000						
27.6603	3250.0000						
27.8841	3287.0000						
28.1416	3256.0000						
28.4320	3417.0000						
28.7542	3181.0000						
29.1073	3029.0000						
29.4901	2991.0000						
29.9014	3030.0000						
30.3401	3083.0000						
30.8050	2950.0000						
31.2950	2934.0000						
31.8089	2920.0000						
32.3455	3032.0000						
32.9038	2984.0000						
33.4827	2954.0000						
34.0811	2711.0000						
34.6979	2791.0000						
35.3324	2783.0000						
35.9834	2723.0000						
36.6501	2860.0000						
37.3318	2939.0000						
38.0275	2551.0000						
38.7365	2824.0000						
39.4582	2911.0000						
40.1917	2694.0000						
40.9366	2569.0000						
40.7200	2927.0000						
39.9568	2809.0000						
39.2042	2884.0000						
38.4630	2775.0000						
37.7337	3098.0000						
37.0170	3084.0000						
36.3137	3087.0000						
35.6246	3021.0000						
34.9506	3195.0000						
34.2924	3257.0000						
33.6511	3424.0000						
33.0277	3394.0000						
32.4231	3328.0000						
31.8384	3446.0000						
31.2748	3475.0000						
30.7334	3584.0000						
30.2154	3420.0000						
29.7220	3578.0000						
29.2545	3542.0000						
28.8141	3467.0000						
28.4022	3450.0000						
28.0198	3514.0000						
27.6684	3673.0000						
27.3490	3638.0000						
27.0628	3608.0000						
26.8109	3623.0000						
26.5942	3495.0000						
26.4137	3693.0000						
26.2699	3515.0000						
26.1637	3544.0000						
26.0953	3334.0000						
26.0652	3496.0000						
26.0734	3451.0000						
26.1200	3303.0000						
26.2046	3444.0000						
26.3270	3317.0000						
26.4865	3192.0000						
26.6827	3264.0000						
26.9146	3233.0000						
27.1813	2934.0000						
27.4818	3138.0000						
27.8151	3094.0000						
28.1799	3108.0000						
28.5751	3083.0000						
28.9994	2883.0000						
29.4515	3014.0000						
29.9303	3142.0000						
30.4344	2869.0000						
30.9625	3032.0000						
31.5136	3134.0000						
32.0864	2982.0000						
32.6797	2838.0000						
33.2925	2702.0000						
33.9237	2821.0000						
34.5724	2842.0000						
35.2374	2998.0000						
35.9180	2873.0000						
36.6133	2604.0000						
37.3224	2834.0000						
38.0446	2787.0000						
38.7791	2750.0000						
39.5253	2698.0000						
40.2825	2771.0000						
40.0872	2983.0000						
39.3118	2914.0000						
38.5466	3224.0000						
37.7925	2968.0000						
37.0500	3134.0000						
36.3198	3062.0000						
35.6028	3099.0000						
34.8997	3102.0000						
34.2113	3365.0000						
33.5387	3227.0000						
32.8827	3580.0000						
32.2444	3252.0000						
31.6248	3255.0000						
31.0251	3619.0000						
30.4464	3444.0000						
29.8900	3557.0000						
29.3571	3587.0000						
28.8491	3593.0000						
28.3672	3512.0000						
27.9128	3523.0000						
27.4874	3652.0000						
27.0921	3645.0000						
26.7285	3629.0000						
26.3977	3673.0000						
26.1011	3519.0000						
25.8398	3658.0000						
25.6150	3565.0000						
25.4274	3303.0000						
25.2781	3646.0000						
25.1677	3462.0000						
25.0966	3497.0000						
25.0653	3579.0000						
25.0738	3388.0000						
25.1222	3208.0000						
25.2102	3495.0000						
25.3374	3207.0000						
