X0	Y0	X1	Y1	X2	Y2	X3	Y3
43.5519	2594.0000	0.6476	3281.3333	0	3358.0625	46	-817.5825
42.8519	2497.0000	1.5712	3343.6001	26	3358.0625	46	3358.0625
42.1639	2419.0000	2.5682	3358.0625	26	-817.5825	69	3358.0625
41.4887	2339.0000	3.5559	3290.6365			69	-817.5825
40.8267	2605.0000	4.5234	3264.0740				
40.1788	2702.0000	5.5064	3207.5715				
39.5455	2715.0000	6.5140	3171.1221				
38.9276	2710.0000	7.5090	3136.7021				
38.3259	2522.0000	8.5139	3092.3333				
37.7410	2577.0000	9.5135	3085.2373				
37.1739	2633.0000	10.5058	3051.7878				
36.6253	2596.0000	11.5230	3007.9468				
36.0960	2554.0000	12.5171	2968.6533				
35.5870	2649.0000	13.4963	2934.0942				
35.0991	2512.0000	14.4985	2922.9341				
34.6332	2524.0000	15.5096	2900.4800				
34.1902	2615.0000	16.5230	2860.7405				
33.7711	2701.0000	17.5104	2841.5889				
33.3766	2603.0000	18.4963	2821.8018				
33.0077	2599.0000	19.5134	2820.0393				
32.6653	2482.0000	20.5298	2789.8450				
32.3502	2749.0000	21.5227	2779.2556				
32.0632	2713.0000	22.4959	2757.5073				
31.8050	2766.0000	23.4955	2729.3594				
31.5765	2680.0000	24.5125	2739.6169				
31.3781	2699.0000	25.5112	2723.2937				
31.2106	2752.0000	26.5133	2702.9460				
31.0743	2766.0000	27.5088	2704.0935				
30.9697	2608.0000	28.5044	2672.3445				
30.8972	2921.0000	29.5044	2667.5598				
30.8569	2718.0000	30.4931	2671.0688				
30.8490	2831.0000						
30.8735	2472.0000						
30.9304	2656.0000						
31.0194	2558.0000						
31.1402	2686.0000						
31.2926	2729.0000						
31.4760	2631.0000						
31.6899	2669.0000						
31.9337	2447.0000						
32.2068	2702.0000						
32.5083	2638.0000						
32.8375	2676.0000						
33.1936	2658.0000						
33.5757	2675.0000						
33.9829	2706.0000						
34.4144	2471.0000						
34.8692	2550.0000						
35.3465	2665.0000						
35.8454	2619.0000						
36.3649	2714.0000						
36.9041	2630.0000						
37.4624	2759.0000						
38.0387	2561.0000						
38.6323	2642.0000						
39.2424	2391.0000						
39.8683	2570.0000						
40.5091	2561.0000						
41.1643	2751.0000						
41.8332	2668.0000						
42.5150	2760.0000						
43.2093	2464.0000						
43.9153	2540.0000						
42.8494	2595.0000						
42.1377	2353.0000						
41.4379	2679.0000						
40.7506	2625.0000						
40.0765	2570.0000						
39.4162	2566.0000						
38.7705	2695.0000						
38.1400	2684.0000						
37.5257	2536.0000						
36.9281	2649.0000						
36.3483	2574.0000						
35.7871	2637.0000						
35.2452	2458.0000						
34.7237	2753.0000						
34.2235	2628.0000						
33.7456	2680.0000						
33.2908	2780.0000						
32.8601	2580.0000						
32.4546	2589.0000						
32.0751	2560.0000						
31.7227	2697.0000						
31.3981	2445.0000						
31.1023	2694.0000						
30.8361	2770.0000						
30.6003	2487.0000						
30.3956	2671.0000						
30.2226	2565.0000						
30.0818	2875.0000						
29.9738	2501.0000						
29.8988	2866.0000						
29.8572	2631.0000						
29.8491	2614.0000						
29.8744	2695.0000						
29.9331	2603.0000						
30.0251	2712.0000						
30.1499	2730.0000						
30.3073	2712.0000						
30.4966	2738.0000						
30.7173	2681.0000						
30.9688	2824.0000						
31.2503	2701.0000						
31.5609	2648.0000						
31.8999	2699.0000						
