 	Label	slice	Saturated	JD_SOBS	JD_UTC	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	rel_flux_T1	rel_flux_C2	rel_flux_err_T1	rel_flux_err_C2	Source-Sky_T1	N_Src_Pixels_T1	Source_AMag_T1	Peak_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	Source-Sky_C2	Source_AMag_C2	Peak_C2	FWHM_C2	Width_C2
1		1.000000	0.000000	2458912.601647	2458912.602342	2458912.602946	NaN	1.878511	32.052159	-1.907358	120.000000	5.201111	33.963056	28.653041	0.652869	0.000000	0.004091	0.000000	2435243.716026	3020.656822	11.962935	17814.000000	6452.000000	29.160276	29.140419	3730063.617801	11.500000	37402.000000	28.145806	28.066783
2		2.000000	0.000000	2458912.605138	2458912.605833	2458912.606436	NaN	1.879120	32.040447	-1.802962	120.000000	5.201111	33.963056	42.691818	0.657372	0.000000	0.004411	0.000000	2467225.565991	3422.072387	11.955472	17575.000000	6410.000000	29.002219	28.911648	3753164.711901	11.500000	37606.000000	27.728375	27.686537
3		3.000000	0.000000	2458912.608630	2458912.609325	2458912.609928	NaN	1.879680	32.029666	-1.802962	120.000000	5.201111	33.963056	49.983727	0.642616	0.000000	0.004208	0.000000	2378865.701803	3117.917572	11.980121	17490.000000	6417.000000	29.104812	29.100557	3701845.355652	11.500000	37499.000000	28.170825	28.136586
4		4.000000	0.000000	2458912.612121	2458912.612816	2458912.613419	NaN	1.880192	32.019824	-1.802962	120.000000	5.201111	33.963056	54.153320	0.649769	0.000000	0.004546	0.000000	2406483.734956	3526.262484	11.968103	17412.000000	6471.000000	29.812095	29.831582	3703599.840328	11.500000	30689.000000	28.510819	28.499188
5		5.000000	0.000000	2458912.615615	2458912.616309	2458912.616912	NaN	1.880656	32.010919	-1.802962	120.000000	5.201111	33.963056	55.667000	0.647071	0.000000	0.004205	0.000000	2357024.896930	3020.039669	11.972621	18074.000000	6521.000000	29.112707	29.125632	3642607.881938	11.500000	20440.000000	28.067973	28.002072
6		6.000000	0.000000	2458912.619106	2458912.619801	2458912.620403	NaN	1.881070	32.002965	-1.881263	120.000000	5.201111	33.963056	56.728712	0.625336	0.000000	0.006228	0.000000	2275232.455671	5410.597037	12.009717	17377.000000	6295.000000	29.403740	29.768517	3638418.386167	11.500000	19577.000000	28.386685	28.535505
7		7.000000	0.000000	2458912.622599	2458912.623293	2458912.623895	NaN	1.881435	31.995958	-1.802962	120.000000	5.201111	33.963056	57.754216	0.640066	0.000000	0.004800	0.000000	2312112.558199	3630.091794	11.984439	17497.000000	6466.000000	29.886931	29.826782	3612305.602036	11.500000	20168.000000	28.892789	28.942337
8		8.000000	0.000000	2458912.626092	2458912.626786	2458912.627388	NaN	1.881751	31.989905	-1.802962	120.000000	5.201111	33.963056	55.182985	0.621524	0.000000	0.004673	0.000000	2254518.361880	3525.704770	12.016356	18609.000000	6411.000000	26.927771	26.880497	3627404.550064	11.500000	21822.000000	25.683983	25.642901
9		9.000000	0.000000	2458912.629584	2458912.630278	2458912.630879	NaN	1.882017	31.984809	-1.802962	120.000000	5.201111	33.963056	52.141487	0.622229	0.000000	0.004144	0.000000	2214318.733946	2825.916943	12.015124	19249.000000	6562.000000	24.950258	24.947604	3558687.912069	11.500000	23480.000000	24.149732	24.133266
10		10.000000	0.000000	2458912.633075	2458912.633770	2458912.634371	NaN	1.882233	31.980671	-1.802962	120.000000	5.201111	33.963056	49.990896	0.608216	0.000000	0.003498	0.000000	2145830.704051	2125.221904	12.039855	19537.000000	6514.000000	24.426312	24.431046	3528072.241484	11.500000	23383.000000	23.413992	23.508954
11		11.000000	0.000000	2458912.636566	2458912.637260	2458912.637861	NaN	1.882399	31.977494	-1.802962	120.000000	5.201111	33.963056	48.202257	0.604028	0.000000	0.003271	0.000000	2080842.566852	1809.782220	12.047357	20086.000000	6322.000000	23.765736	23.720692	3444942.918662	11.500000	24521.000000	22.647882	22.478747
12		12.000000	0.000000	2458912.640060	2458912.640755	2458912.641355	NaN	1.882514	31.975276	-1.802962	120.000000	5.201111	33.963056	47.282911	0.612550	0.000000	0.005078	0.000000	2066487.761495	3523.249871	12.032146	18690.000000	6399.000000	23.816916	23.671449	3373581.341386	11.500000	21290.000000	22.546650	22.685460
13		13.000000	0.000000	2458912.643552	2458912.644247	2458912.644847	NaN	1.882580	31.974023	-1.802962	120.000000	5.201111	33.963056	46.161605	0.605128	0.000000	0.003804	0.000000	2035259.564080	2207.858375	12.045381	20044.000000	6480.000000	23.119872	23.164070	3363351.696939	11.500000	24290.000000	21.920427	21.986055
14		14.000000	0.000000	2458912.647044	2458912.647739	2458912.648338	NaN	1.882595	31.973732	-1.802962	120.000000	5.201111	33.963056	45.375450	0.604255	0.000000	0.003473	0.000000	1982941.649798	1811.082870	12.046950	20346.000000	6556.000000	22.833476	22.778925	3281631.039128	11.500000	24395.000000	21.755819	21.712456
15		15.000000	0.000000	2458912.650536	2458912.651230	2458912.651829	NaN	1.882560	31.974404	-1.802962	120.000000	5.201111	33.963056	44.247733	0.603715	0.000000	0.004103	0.000000	1936849.516636	2290.884401	12.047920	19922.000000	6591.000000	22.234397	22.272535	3208216.595435	11.500000	24594.000000	20.885619	20.830550
16		16.000000	0.000000	2458912.654028	2458912.654722	2458912.655321	NaN	1.882474	31.976040	-1.802962	120.000000	5.201111	33.963056	43.927233	0.609665	0.000000	0.004728	0.000000	1941351.105991	2827.567135	12.037272	19669.000000	6490.000000	22.374426	22.372658	3184290.715374	11.500000	23977.000000	21.232306	21.232205
