 	Label	slice	Saturated	JD_SOBS	JD_UTC	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	rel_flux_T1	rel_flux_C2	rel_flux_err_T1	rel_flux_err_C2	Source-Sky_T1	N_Src_Pixels_T1	Source_AMag_T1	Peak_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	Source-Sky_C2	Source_AMag_C2	Peak_C2	FWHM_C2	Width_C2
16		16.000000	0.000000	2458913.579467	2458913.580162	2458913.580670	NaN	-1.000000	-10.435063	-1.881263	120.000000	5.200784	33.965872	37.130990	0.592291	0.000000	0.003919	0.000000	1715671.758949	1664.620270	12.068662	22981.000000	6493.000000	17.830294	17.876985	2896669.839905	11.500000	28720.000000	16.709746	16.758843
17		17.000000	0.000000	2458913.582956	2458913.583651	2458913.584158	NaN	-1.000000	-10.139470	-1.802962	120.000000	5.200756	33.966000	34.898405	0.594741	0.000000	0.003756	0.000000	1707838.395987	1519.501774	12.064181	22489.000000	6314.000000	17.013261	16.803619	2871568.779022	11.500000	27757.000000	15.652558	15.714104
18		18.000000	0.000000	2458913.586445	2458913.587139	2458913.587647	NaN	-1.000000	-9.828480	-1.802962	120.000000	5.200726	33.966119	33.630645	0.590752	0.000000	0.002272	0.000000	2076158.768812	1076.079002	12.071486	21474.000000	6344.000000	16.764622	16.767477	3514431.333417	11.500000	29906.000000	15.598263	15.667961
19		19.000000	0.000000	2458913.589932	2458913.590626	2458913.591133	NaN	-1.000000	-9.502412	-1.802962	120.000000	5.200696	33.966231	32.503561	0.598467	0.000000	0.002916	0.000000	1866235.025300	1193.198056	12.057399	23752.000000	6342.000000	16.160948	16.217226	3118358.844531	11.500000	30723.000000	15.215529	15.283090
20		20.000000	0.000000	2458913.593421	2458913.594116	2458913.594622	NaN	-1.000000	-9.161147	-1.802962	120.000000	5.200666	33.966333	31.464627	0.623860	0.000000	0.003054	0.000000	1935158.620926	1258.812563	12.012282	24626.000000	6482.000000	15.696138	15.696554	3101911.576978	11.500000	32498.000000	14.729556	14.780911
21		21.000000	0.000000	2458913.596911	2458913.597606	2458913.598112	NaN	-1.000000	-8.804956	-1.802962	120.000000	5.200636	33.966428	30.741232	0.633333	0.000000	0.002903	0.000000	2072696.449919	1322.380241	11.995920	23739.000000	6580.000000	15.560196	15.452758	3272679.911896	11.500000	31719.000000	14.457640	14.477644
22		22.000000	0.000000	2458913.600398	2458913.601092	2458913.601598	NaN	-1.000000	-8.434495	-1.802962	120.000000	5.200604	33.966511	30.248543	0.665999	0.000000	0.002209	0.000000	2468341.963338	1135.688385	11.941316	22875.000000	6358.000000	15.353065	15.353879	3706225.013618	11.500000	31552.000000	14.402788	14.396354
23		23.000000	0.000000	2458913.603887	2458913.604581	2458913.605086	NaN	-1.000000	-8.049413	-1.802962	120.000000	5.200573	33.966586	29.868430	0.706537	0.000000	0.002041	0.000000	2683260.903204	1013.690640	11.877163	23543.000000	6398.000000	15.132391	15.140426	3797763.466846	11.500000	30348.000000	14.355927	14.350305
24		24.000000	0.000000	2458913.607373	2458913.608068	2458913.608573	NaN	-1.000000	-7.650351	-1.802962	120.000000	5.200541	33.966653	28.573183	0.750404	0.000000	0.002035	0.000000	2905774.514231	1020.842545	11.811762	25271.000000	6229.000000	14.076366	14.098470	3872278.379009	11.500000	32492.000000	13.201570	13.274301
25		25.000000	0.000000	2458913.610862	2458913.611556	2458913.612061	NaN	-1.000000	-7.237061	-1.802962	120.000000	5.200508	33.966708	28.391239	0.815658	0.000000	0.002073	0.000000	3134496.638360	964.622624	11.721230	26805.000000	6396.000000	14.354939	14.366637	3842906.534255	11.500000	33806.000000	13.854356	13.919265
