 	Label	slice	Saturated	JD_SOBS	JD_UTC	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	rel_flux_T1	rel_flux_C2	rel_flux_err_T1	rel_flux_err_C2	Source-Sky_T1	N_Src_Pixels_T1	Source_AMag_T1	Peak_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	Source-Sky_C2	Source_AMag_C2	Peak_C2	FWHM_C2	Width_C2
1		1.000000	0.000000	2458917.524954	2458917.525649	2458917.525770	NaN	-1.000000	-12.767500	-1.802962	120.000000	5.201174	33.963122	16.331585	0.763321	0.000000	0.011974	0.000000	1474944.617707	3217.297379	11.793232	31404.000000	6370.000000	17.453295	17.548143	1932272.309457	11.500000	33217.000000	15.209876	15.178555
2		2.000000	0.000000	2458917.528132	2458917.528826	2458917.528948	NaN	-1.000000	-12.685517	-1.855165	120.000000	5.201152	33.963311	24.411182	0.728558	0.000000	0.004929	0.000000	1797996.802771	1452.488657	11.843840	27348.000000	6416.000000	16.713373	16.774204	2467883.866417	11.500000	32032.000000	15.777405	15.832287
3		3.000000	0.000000	2458917.531287	2458917.531981	2458917.532102	NaN	-1.000000	-12.590141	-1.802962	120.000000	5.201130	33.963492	28.401214	0.717035	0.000000	0.004581	0.000000	2071935.261338	2126.947277	11.861149	22391.000000	6513.000000	16.892329	16.829698	2889587.351831	11.500000	26449.000000	15.498917	15.461549
4		4.000000	0.000000	2458917.534096	2458917.534790	2458917.534911	NaN	-1.000000	-12.493554	-1.802962	120.000000	5.201110	33.963650	30.530554	0.733437	0.000000	0.011535	0.000000	1016761.445377	2045.259980	11.836593	27429.000000	6346.000000	17.092780	16.901140	1386296.977638	11.500000	29220.000000	15.567114	15.517992
5		5.000000	0.000000	2458917.536245	2458917.536939	2458917.537060	NaN	-1.000000	-12.412271	-1.802962	120.000000	5.201097	33.963747	31.123043	0.721855	0.000000	0.004332	0.000000	1942033.635510	1736.206117	11.853875	22261.000000	6504.000000	16.439162	16.492289	2690337.289014	11.500000	26770.000000	15.276370	15.367920
6		6.000000	0.000000	2458917.539403	2458917.540098	2458917.540218	NaN	-1.000000	-12.281202	-1.881263	120.000000	5.201073	33.963917	31.692655	0.713189	0.000000	0.004238	0.000000	1727357.211509	1320.255213	11.866988	22564.000000	6426.000000	16.745645	16.765441	2422017.449675	11.500000	26463.000000	15.516623	15.522501
7		7.000000	0.000000	2458917.542562	2458917.543256	2458917.543376	NaN	-1.000000	-12.136396	-1.802962	120.000000	5.201050	33.964083	32.506201	0.754122	0.000000	0.037375	0.000000	419064.917823	2377.724172	11.806396	34851.000000	6375.000000	17.609279	17.548522	555699.288077	11.500000	35364.000000	15.710467	15.815957
8		8.000000	0.000000	2458917.545717	2458917.546412	2458917.546531	NaN	-1.000000	-11.978121	-1.802962	120.000000	5.201026	33.964242	32.815125	0.738367	0.000000	0.009094	0.000000	983140.383989	1317.989310	11.829319	26724.000000	6401.000000	17.152929	17.018674	1331506.356360	11.500000	28486.000000	15.971120	16.116414
9		9.000000	0.000000	2458917.548876	2458917.549570	2458917.549690	NaN	-1.000000	-11.806098	-1.802962	120.000000	5.201002	33.964397	33.057833	0.713237	0.000000	0.003983	0.000000	2190213.096253	2123.571895	11.866915	19945.000000	6594.000000	17.348856	17.305134	3070806.309057	11.500000	24265.000000	15.951686	15.961417
10		10.000000	0.000000	2458917.552034	2458917.552728	2458917.552847	NaN	-1.000000	-11.620670	-1.802962	120.000000	5.200978	33.964544	32.973990	0.727206	0.000000	0.015251	0.000000	901305.843839	2924.064718	11.845857	24122.000000	6356.000000	17.115047	17.094062	1239409.568599	11.500000	26070.000000	15.775099	15.788343
11		11.000000	0.000000	2458917.555189	2458917.555883	2458917.556002	NaN	-1.000000	-11.422031	-1.802962	120.000000	5.200954	33.964689	32.875129	0.704523	0.000000	0.002895	0.000000	2408230.931775	1662.506288	11.880262	19559.000000	6430.000000	17.077123	17.093617	3418242.624653	11.500000	25485.000000	15.699146	15.618007
