_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
092.172094500	+24.444128400	573-024976	092.1720945	+24.4441284	174	15.947	5	0			13.879	13.261					0	0	0	0	0	0	0	0	0
092.172181500	+24.442719800	573-024977	092.1721815	+24.4427198	45	14.335	0	0	2.6	-12.2	13.451	13.217	14.803	14.223	14.089	14.251	0	0	0	0	7	0	0	7	0
092.176072700	+24.432203400	573-024979	092.1760727	+24.4322034	163	16.009	0	0	-4.6	-0.9	13.886	13.101					0	0	0	0	0	0	0	1	0
092.176244500	+24.483049800	573-024980	092.1762445	+24.4830498	42	14.355	0	0	-0.1	-4.7	12.306	11.510	16.331	14.868	14.381	14.513	0	0	0	0	1	0	0	1	0
092.176680000	+24.488810300	573-024981	092.1766800	+24.4888103	38	13.933	0	0	0.0	-0.9	12.781	12.447	14.823	14.142	13.933	14.113	0	0	0	0	1	0	0	1	0
092.178204500	+24.503078400	573-024982	092.1782045	+24.5030784	80	15.223	0	0	3.8	-7.3	13.628	13.083	16.500	15.383	15.038	14.761	0	0	0	0	0	0	0	1	0
092.178632700	+24.494157800	573-024983	092.1786327	+24.4941578	92	15.332	0	0	4.9	1.7	13.643	12.902					0	0	0	0	0	0	0	1	0
092.178884800	+24.405559500	573-024984	092.1788848	+24.4055595	36	12.929	0	0	1.3	-5.0	11.921	11.598	13.664	13.103	12.985	13.413	0	0	0	0	1	0	0	0	0
092.179053300	+24.442809800	573-024985	092.1790533	+24.4428098	70	15.263	0	0	-9.9	-0.7	13.839	13.192	16.684	15.516	15.300		0	0	0	0	0	0	0	1	0
092.179989800	+24.500214200	573-024986	092.1799898	+24.5002142	401	15.270	0	0	8.1	-8.3	14.934	14.483					0	0	0	0	0	0	0	1	0
092.181893600	+24.420552300	573-024987	092.1818936	+24.4205523	21	10.243	0	0	1.4	-3.9	9.845	9.809	10.389	10.181	10.241	10.643	3	1	0	1	1	0	0	1	0
092.182310900	+24.429942800	573-024988	092.1823109	+24.4299428	30	13.663	0	0	-4.2	-1.7	12.520	12.155	14.684	13.911	13.735	14.063	0	0	0	0	1	0	0	1	0
092.187868000	+24.463722300	573-024991	092.1878680	+24.4637223	155	14.885	0	0	3.0	-6.9	14.149	13.753	16.203	15.508			0	0	0	0	0	0	0	1	0
092.189258900	+24.445424500	573-024992	092.1892589	+24.4454245	103	15.868	0	0	11.7	-46.1	13.607	12.659					0	0	0	0	0	0	0	1	0
092.189981800	+24.484982300	573-024993	092.1899818	+24.4849823	52	13.364	0	0	-0.7	4.3	12.356	12.057	14.156	13.515	13.337	13.536	0	0	0	0	1	0	0	1	0
092.191896800	+24.507735000	573-024996	092.1918968	+24.5077350	183	16.214	0	0	4.9	5.2	15.337	14.976					0	0	0	0	0	0	0	1	0
092.192706200	+24.464214200	573-024997	092.1927062	+24.4642142	95	14.875	5	0			12.766	11.932					0	0	0	0	0	0	0	0	0
092.193922100	+24.472408400	573-024999	092.1939221	+24.4724084	59	11.552	0	0	1.3	-4.5	11.093	11.043	11.734	11.510	11.559	11.990	0	1	0	5	1	0	0	1	0
092.197241500	+24.415466400	573-025002	092.1972415	+24.4154664	78	14.777	0	0	11.8	-19.0	13.967	13.422					0	0	0	0	0	0	0	1	0
092.197429200	+24.506884500	573-025003	092.1974292	+24.5068845	127	14.793	0	0	-2.5	-5.6	14.434	13.622					0	0	0	0	0	0	0	1	0
092.200125300	+24.491778100	573-025004	092.2001253	+24.4917781	284	15.420	0	0	-16.5	8.7	13.526	12.606					0	0	0	0	0	0	0	1	0
092.200202400	+24.471231400	573-025005	092.2002024	+24.4712314	109	15.714	0	0	22.3	-2.9	14.447	13.969					0	0	0	0	0	0	0	1	0
092.202757700	+24.488353400	573-025006	092.2027577	+24.4883534	71	15.060	0	0	-2.7	1.9	14.269	13.851					0	0	0	0	0	0	0	1	0
092.204662100	+24.425799800	573-025007	092.2046621	+24.4257998	36	12.446	0	0	1.3	-1.8	11.751	11.595	12.900	12.485	12.453	12.967	0	1	0	1	1	0	0	1	0
092.204858000	+24.446325000	573-025008	092.2048580	+24.4463250	222	16.058	0	0	-9.7	11.9	14.954	14.293					0	0	0	0	0	0	0	1	0
092.205292100	+24.432360900	573-025010	092.2052921	+24.4323609	336	16.027	5	0			15.216	15.007					0	0	0	0	0	0	0	0	0
092.207025300	+24.406879200	573-025012	092.2070253	+24.4068792	30	14.040	0	0	0.0	-5.2	12.649	12.136	15.429	14.437	14.115	14.385	0	0	0	0	1	0	0	1	0
092.209605600	+24.434160600	573-025015	092.2096056	+24.4341606	21	9.421	0	0	1.1	-3.5	8.982	8.945	9.567	9.373	9.450	9.756	3	1	0	3	1	0	0	3	0
092.211598000	+24.500683900	573-025020	092.2115980	+24.5006839	28	8.755	0	6	2.1	-1.6	6.064	5.238	9.962	8.869	8.758	8.171	3	8	0	8	8	0	0	8	0
092.211923300	+24.485923400	573-025021	092.2119233	+24.4859234	138	15.124	5	0			14.849	14.131					0	0	0	0	0	0	0	0	0
092.213647400	+24.439569800	573-025023	092.2136474	+24.4395698	85	14.829	5	0			13.533	13.152	15.831	14.991			0	0	0	0	0	0	0	0	0
092.215670000	+24.491446700	573-025024	092.2156700	+24.4914467	74	15.514	0	0	18.3	-1.0	14.124	13.559					0	0	0	0	0	0	0	3	0
092.217702700	+24.477161700	573-025027	092.2177027	+24.4771617	75	15.276	0	0	-3.7	-2.9	13.972	13.653					0	0	0	0	0	0	0	1	0
092.219747400	+24.412350000	573-025030	092.2197474	+24.4123500	128	15.980	0	0	-59.5	17.0	13.962	13.394					0	0	0	0	0	0	0	8	0
092.220425300	+24.449387500	573-025031	092.2204253	+24.4493875	29	13.662	0	0	0.3	-3.5	12.785	12.496	14.458	13.900	13.799	14.021	0	0	0	0	1	0	0	1	0
092.220438000	+24.411179200	573-025032	092.2204380	+24.4111792	36	14.103	0	0	-21.0	-69.6	12.666	12.054	15.144	14.223	13.873	14.182	0	0	0	0	8	0	0	0	0
092.220925300	+24.466383900	573-025033	092.2209253	+24.4663839	135	15.847	5	0			14.659	14.326					0	0	0	0	0	0	0	0	0
092.222005000	+24.476991400	573-025034	092.2220050	+24.4769914	62	14.951	0	34	1.4	4.6	13.491	12.996					0	0	0	0	0	0	0	2	0
092.222778600	+24.431391700	573-025037	092.2227786	+24.4313917	61	15.524	0	0	3.4	-11.6	14.337	13.956	16.317	15.561	15.452		0	0	0	0	0	0	0	1	0
092.224120300	+24.409440000	573-025038	092.2241203	+24.4094400	94	15.192	0	0	3.7	-6.4	14.531	14.018					0	0	0	0	0	0	0	1	0
092.224455600	+24.455762500	573-025039	092.2244556	+24.4557625	34	14.002	0	0	7.7	-11.3	12.726	12.196	15.194	14.237	13.921	14.029	0	0	0	0	1	0	0	1	0
092.225432400	+24.472074500	573-025040	092.2254324	+24.4720745	121	15.952	0	0	-4.5	-7.1	14.580	13.903					0	0	0	0	0	0	0	1	0
092.225535300	+24.476971400	573-025041	092.2255353	+24.4769714	110	15.459	0	0	6.5	-2.4	14.236	13.688					0	0	0	0	0	0	0	1	0
092.225638900	+24.419050900	573-025042	092.2256389	+24.4190509	190	16.085	0	0	-8.6	-0.9	15.240	14.885					0	0	0	0	0	0	0	1	0
092.227508900	+24.472094200	573-025044	092.2275089	+24.4720942	236	16.165	0	0	-10.2	16.3	15.175	14.572					0	0	0	0	0	0	0	3	0
092.228084200	+24.412572000	573-025045	092.2280842	+24.4125720	74	15.624	0	0	9.8	1.4	14.332	13.988					0	0	0	0	0	0	0	1	0
092.228656500	+24.470446700	573-025046	092.2286565	+24.4704467	97	15.686	0	0	2.3	-13.9	14.282	13.774					0	0	0	0	0	0	0	3	0
092.228988900	+24.450874800	573-025047	092.2289889	+24.4508748	367	16.199	5	0			14.801	14.366					0	0	0	0	0	0	0	0	0
092.229504200	+24.441898900	573-025048	092.2295042	+24.4418989	82	15.569	0	0	0.1	-3.7	13.662	12.787					0	0	0	0	0	0	0	1	0
092.231076800	+24.450674800	573-025050	092.2310768	+24.4506748	37	14.186	0	0	7.7	-19.0	12.830	12.254					0	0	0	0	1	0	0	1	0
092.232761800	+24.403919500	573-025051	092.2327618	+24.4039195	143	12.852	5	0			14.890	14.451					0	0	0	0	0	0	0	0	0
092.232933900	+24.476653900	573-025052	092.2329339	+24.4766539	34	13.498	0	0	1.3	-4.6	12.473	12.168	14.793	14.130	13.780	15.102	0	0	0	0	1	0	0	0	0
092.232963900	+24.402531400	573-025053	092.2329639	+24.4025314	17	11.213	0	0	1.1	-4.6	10.696	10.607	11.419	11.169	11.206	11.799	3	7	0	7	7	0	0	0	0
