_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
092.092734800	+24.341149500	572-024444	092.0927348	+24.3411495	49	14.468	0	0	-3.9	-8.0	13.353	13.010					0	0	0	0	1	0	0	0	0
092.093817700	+24.346181200	572-024447	092.0938177	+24.3461812	67	12.198	0	0	1.7	-5.0	11.638	11.516	12.462	12.160	12.178	12.702	3	1	0	1	1	0	0	1	0
092.094715000	+24.351868900	572-024449	092.0947150	+24.3518689	158	14.330	0	0	0.5	4.0	13.454	13.188					0	0	0	0	1	0	0	1	0
092.094788300	+24.399258700	572-024450	092.0947883	+24.3992587	77	13.162	0	0	-3.0	-13.1	11.377	10.719	14.681	13.511	13.120	13.204	0	0	0	0	1	0	0	1	0
092.096789800	+24.388296700	572-024452	092.0967898	+24.3882967	92	12.768	0	0	-4.3	-4.9	12.017	11.838	13.331	12.874	12.798	13.314	0	1	0	1	1	0	0	1	0
092.099117400	+24.364690300	572-024453	092.0991174	+24.3646903	51	13.940	0	0	-4.3	-2.0	12.037	11.291	15.707	14.367	13.903	14.147	0	0	0	0	1	0	0	1	0
092.099507400	+24.328351400	572-024454	092.0995074	+24.3283514	119	14.709	0	0	4.8	3.9	13.381	12.777	16.115	15.028	14.730	14.933	0	0	0	0	0	0	0	1	0
092.099814800	+24.382347000	572-024455	092.0998148	+24.3823470	160	16.143	0	0	2.0	4.8	14.826	14.736					0	0	0	0	0	0	0	1	0
092.100628600	+24.312797300	572-024457	092.1006286	+24.3127973	88	15.103	0	0	-2.7	5.5	14.186	13.818	15.839	15.282	15.180		0	0	0	0	0	0	0	1	0
092.101830600	+24.296161400	572-024461	092.1018306	+24.2961614	60	14.633	0	0	-6.1	-2.9	13.600	13.193	15.615	14.932	14.734	15.357	0	0	0	0	1	0	0	1	0
092.102993300	+24.320587800	572-024463	092.1029933	+24.3205878	137	15.668	0	0	-6.6	-2.7	14.887	14.405					0	0	0	0	0	0	0	1	0
092.103968600	+24.389750000	572-024466	092.1039686	+24.3897500	108	14.735	5	0			14.179	13.866					0	0	0	0	0	0	0	0	0
092.105363900	+24.356131200	572-024467	092.1053639	+24.3561312	123	16.009	0	0	-10.8	-4.8	13.318	12.370					0	0	0	0	0	0	0	1	0
092.106607100	+24.393343100	572-024469	092.1066071	+24.3933431	71	11.999	0	0	0.1	-3.8	11.390	11.230	12.270	11.969	11.987	12.578	3	1	0	1	1	0	0	1	0
092.106660600	+24.301356700	572-024471	092.1066606	+24.3013567	25	13.335	0	0	-0.8	-2.4	12.888	12.803	13.657	13.389	13.422	14.094	0	1	0	0	1	0	0	1	0
092.108018300	+24.316932800	572-024472	092.1080183	+24.3169328	151	16.106	0	0	-14.8	-18.5	14.754	14.247					0	0	0	0	0	0	0	1	0
092.109761200	+24.297816700	572-024474	092.1097612	+24.2978167	95	15.357	0	0	-6.4	-18.4	13.993	13.418					0	0	0	0	0	0	0	1	0
092.112998000	+24.321826400	572-024478	092.1129980	+24.3218264	35	11.607	0	0	6.8	3.4	10.521	10.149	12.384	11.716	11.541	12.064	0	1	0	1	1	0	0	1	0
092.113008900	+24.328789800	572-024479	092.1130089	+24.3287898	25	10.175	0	0	-2.0	-3.0	9.919	9.913	10.159	10.071	10.154	10.606	3	1	0	1	1	0	0	3	0
092.113038000	+24.354443700	572-024480	092.1130380	+24.3544437	102	15.838	0	0	-23.4	32.3	14.453	14.123	16.483	15.747	15.631		0	0	0	0	0	0	0	1	0
092.113168000	+24.335058400	572-024481	092.1131680	+24.3350584	25	10.882	0	0	1.7	-3.8	10.387	10.276	11.009	10.812	10.864	11.476	3	1	0	1	1	0	0	3	0
092.113512700	+24.304388700	572-024482	092.1135127	+24.3043887	181	16.148	9	0	79.7	104.6	14.392	13.897					0	0	0	0	0	0	0	1	0
092.114375300	+24.393927300	572-024483	092.1143753	+24.3939273	177	15.979	0	0	7.6	-11.6	14.689	14.077					0	0	0	0	0	0	0	1	0
092.116020300	+24.290863900	572-024485	092.1160203	+24.2908639	124	15.766	0	0	6.7	-2.7	14.329	13.831					0	0	0	0	0	0	0	1	0
092.119182400	+24.315463400	572-024487	092.1191824	+24.3154634	29	12.477	0	0	0.5	-4.2	11.762	11.584					0	5	0	5	1	0	0	0	0
092.119975600	+24.311379800	572-024488	092.1199756	+24.3113798	26	11.978	0	0	0.6	-2.2	11.445	11.328	11.699	11.357			3	3	0	3	1	0	0	0	0
092.122213300	+24.347250900	572-024490	092.1222133	+24.3472509	29	12.263	0	0	2.0	-3.6	11.642	11.519	12.544	12.219	12.223	12.766	0	1	0	1	1	0	0	1	0
092.122623900	+24.363025000	572-024491	092.1226239	+24.3630250	31	12.618	0	0	0.8	-6.4	11.718	11.480	13.210	12.700	12.609	13.082	0	1	0	0	1	0	0	0	0
092.123160300	+24.284777500	572-024493	092.1231603	+24.2847775	108	16.013	0	0	19.5	12.7	14.169	13.588	16.649	15.710	15.457		0	0	0	0	0	0	0	3	0
092.123565600	+24.338215300	572-024496	092.1235656	+24.3382153	121	15.762	5	0			14.482	14.117					0	0	0	0	0	0	0	0	0
092.124769200	+24.315846200	572-024497	092.1247692	+24.3158462	139	14.661	5	0			13.307	12.815					0	0	0	0	0	0	0	0	0
092.125546800	+24.370560300	572-024498	092.1255468	+24.3705603	57	13.159	0	0	0.9	-2.6	14.435	13.860					0	0	0	0	0	0	0	1	0
092.126199200	+24.314062000	572-024499	092.1261992	+24.3140620	107	15.561	5	0			14.117	13.710					0	0	0	0	0	0	0	0	0
092.127010900	+24.306305000	572-024501	092.1270109	+24.3063050	226	16.153	0	0	13.5	-2.9	15.024	14.680					0	0	0	0	0	0	0	1	0
092.127835600	+24.300973400	572-024503	092.1278356	+24.3009734	45	14.674	0	0	3.2	-21.5	13.184	12.535	15.697	14.661	14.325	14.146	0	0	0	0	0	0	0	1	0
092.128112400	+24.360662000	572-024504	092.1281124	+24.3606620	173	16.018	5	0			14.646	14.355					0	0	0	0	0	0	0	0	0
092.128425000	+24.298550900	572-024505	092.1284250	+24.2985509	64	14.954	0	0	-7.6	-21.1	13.752	13.226	15.697	14.661	14.325	14.146	0	0	0	0	0	0	0	1	0
092.128471200	+24.371479800	572-024506	092.1284712	+24.3714798	156	15.834	0	0	-19.2	7.8	14.306	13.735					0	0	0	0	0	0	0	1	0
092.129270000	+24.398932500	572-024509	092.1292700	+24.3989325	215	16.175	0	0	42.7	-34.5	13.698	12.834	18.268	16.595	16.036		0	0	0	0	0	0	0	1	0
092.131302400	+24.364722000	572-024510	092.1313024	+24.3647220	26	10.905	0	0	-0.5	-4.9	10.378	10.316	11.062	10.831	10.880	11.498	3	1	0	1	1	0	0	1	0
092.132041500	+24.384912000	572-024512	092.1320415	+24.3849120	167	16.004	0	0	13.2	14.3	14.444	13.984					0	0	0	0	0	0	0	1	0
092.133026800	+24.318985300	572-024513	092.1330268	+24.3189853	1200	16.111	0	0	-0.3	2.3	15.388	14.861					0	0	0	0	0	0	0	1	0
092.134019800	+24.343387300	572-024514	092.1340198	+24.3433873	144	15.902	5	0			14.172	13.615					0	0	0	0	0	0	0	0	0
092.134073300	+24.379963900	572-024515	092.1340733	+24.3799639	60	14.630	0	0	27.3	11.9	13.580	13.239	15.851	15.131	14.789		0	0	0	0	0	0	0	1	0
092.134077400	+24.356608400	572-024516	092.1340774	+24.3566084	26	10.432	0	0	-0.6	-5.2	10.019	9.971	10.532	10.357	10.422	10.848	3	1	0	1	1	0	0	0	0
092.134918600	+24.341349500	572-024518	092.1349186	+24.3413495	119	15.532	8	15	-64.5	-89.0							0	0	0	0	0	0	0	2	0
092.138215600	+24.320343700	572-024520	092.1382156	+24.3203437	96	14.950	5	0			13.694	13.219					0	0	0	0	0	0	0	0	0
092.139986200	+24.320377800	572-024523	092.1399862	+24.3203778	125	13.883	0	0	6.6	1.8	13.125	12.917	14.130	13.683	13.623	14.018	0	0	0	0	8	0	0	8	0
092.140767100	+24.325103700	572-024525	092.1407671	+24.3251037	89	15.664	0	0	8.4	9.4	14.765	14.582					0	0	0	0	0	0	0	1	0
092.140945000	+24.282825000	572-024526	092.1409450	+24.2828250	37	11.745	0	35	2.1	-3.5	11.222	11.138	11.905	11.646	11.676	12.270	3	8	0	8	2	0	0	4	0
092.142238300	+24.277735000	572-024527	092.1422383	+24.2777350	35	12.869	0	0	1.0	-3.5	12.024	11.798					0	1	0	1	1	0	0	1	0
092.142739200	+24.359971400	572-024528	092.1427392	+24.3599714	241	15.503	0	0	17.5	1.2	13.909	13.225					0	0	0	0	0	0	0	1	0
092.143169200	+24.373177300	572-024530	092.1431692	+24.3731773	126	13.110	0	0	61.7	57.2							0	0	0	0	0	0	0	1	0
092.143582400	+24.282648900	572-024531	092.1435824	+24.2826489	96	14.630	5	35			13.723	13.452					0	0	0	0	0	0	0	0	0
092.146338000	+24.326487000	572-024532	092.1463380	+24.3264870	218	14.877	0	0	0.3	0.0	14.550	14.165	16.933	15.999	15.820		0	0	0	0	0	0	0	1	0
092.146592700	+24.389145000	572-024533	092.1465927	+24.3891450	269	16.310	0	0	6.4	-4.6	15.052	14.755	17.021	16.313	16.258		0	0	0	0	0	0	0	1	0
092.146697100	+24.306660600	572-024534	092.1466971	+24.3066606	25	13.516	0	0	-4.1	-8.4	11.983	11.362	14.896	13.848	13.457	13.647	0	0	0	0	1	0	0	3	0
092.146735600	+24.287583900	572-024535	092.1467356	+24.2875839	155	15.760	0	0	17.7	4.6	14.378	13.651					0	0	0	0	0	0	0	1	0
092.147525000	+24.333175000	572-024537	092.1475250	+24.3331750	246	16.197	0	0	2.7	0.2	14.566	13.810					0	0	0	0	0	0	0	1	0
092.151691500	+24.343942300	572-024544	092.1516915	+24.3439423	35	12.371	0	0	-2.0	-4.4	11.445	11.221	12.942	12.447	12.351	12.787	3	1	0	1	1	0	0	1	0
092.153424200	+24.362081400	572-024545	092.1534242	+24.3620814	25	12.020	0	0	0.2	-4.9	11.080	10.870	12.599	12.094	12.008	12.474	3	1	0	1	1	0	0	1	0
092.155372400	+24.371613400	572-024550	092.1553724	+24.3716134	122	15.717	0	0	12.7	24.8	14.052	13.536					0	0	0	0	0	0	0	1	0
092.155516500	+24.300749500	572-024551	092.1555165	+24.3007495	41	11.801	0	0	0.1	-4.7	11.239	11.121	12.048	11.809	11.827	12.440	0	1	0	1	1	0	0	1	0
092.155624200	+24.306451200	572-024552	092.1556242	+24.3064512	33	12.806	0	0	0.4	1.5	11.925	11.647	13.428	12.868	12.746	13.804	0	1	0	1	1	0	0	1	0
092.155796200	+24.365900000	572-024553	092.1557962	+24.3659000	47	14.020	0	0	-18.3	-71.1	12.418	11.725					0	0	0	0	1	0	0	0	0
092.158860300	+24.358693900	572-024554	092.1588603	+24.3586939	93	14.820	0	0	8.9	-4.3	13.953	13.652					0	0	0	0	0	0	0	1	0
092.158883000	+24.314992300	572-024555	092.1588830	+24.3149923	69	14.625	0	0	4.1	7.9	13.976	13.750	15.148	14.772	14.718	14.780	0	0	0	0	0	0	0	1	0
092.158992100	+24.370514200	572-024556	092.1589921	+24.3705142	73	13.663	0	0	8.3	-5.1	12.775	12.428	14.839	14.068	13.847	14.233	0	0	0	0	1	0	0	1	0
092.160989200	+24.374738700	572-024560	092.1609892	+24.3747387	181	15.508	0	0	2.2	-1.8	14.570	14.177	16.699	16.510			0	0	0	0	0	0	0	1	0
092.161342100	+24.281278700	572-024561	092.1613421	+24.2812787	43	13.879	0	0	3.2	-2.0	12.860	12.485	14.794	14.140	13.911	13.779	0	0	0	0	1	0	0	1	0
092.161560300	+24.298497300	572-024562	092.1615603	+24.2984973	26	11.422	0	0	1.6	-3.5	10.811	10.664	11.679	11.402	11.412	11.988	3	1	0	1	1	0	0	1	0
092.164228600	+24.383434800	572-024565	092.1642286	+24.3834348	25	12.439	0	0	-0.7	-2.9	11.679	11.532	12.894	12.461	12.438	12.836	0	7	0	7	1	0	0	0	0
092.164447700	+24.380095000	572-024566	092.1644477	+24.3800950	106	13.500	0	0	3.0	6.1	12.406	12.047					0	0	0	0	1	0	0	1	0
092.164976800	+24.319940000	572-024567	092.1649768	+24.3199400	204	16.051	9	0	0.3	-84.2							0	0	0	0	0	0	0	1	0
092.165405300	+24.332229800	572-024568	092.1654053	+24.3322298	54	14.692	0	34	-6.5	9.8	13.161	12.724	16.294	14.985	14.558		0	0	0	0	0	0	0	4	0
092.166337400	+24.322751700	572-024569	092.1663374	+24.3227517	81	15.351	0	0	72.3	-45.2							0	0	0	0	0	0	0	5	0
092.166990300	+24.353726400	572-024570	092.1669903	+24.3537264	72	14.086	0	0	-1.8	0.3	12.578	12.119					0	0	0	0	1	0	0	1	0
092.167504800	+24.375070300	572-024572	092.1675048	+24.3750703	57	12.234	0	0	-0.2	-1.9	11.488	11.321	12.660	12.250	12.223	12.736	0	1	0	1	1	0	0	1	0
092.167691200	+24.370788900	572-024573	092.1676912	+24.3707889	138	15.617	5	0			13.812	13.290	16.656	15.772	15.780	16.675	0	0	0	0	0	0	0	0	0
092.167970300	+24.327448900	572-024574	092.1679703	+24.3274489	155	15.558	0	0	-12.4	-43.1	13.899	13.548					0	0	0	0	0	0	0	1	0
092.170815900	+24.328776200	572-024578	092.1708159	+24.3287762	110	15.707	0	0	24.1	4.0	14.613	14.295					0	0	0	0	0	0	0	1	0
092.170915000	+24.358607500	572-024579	092.1709150	+24.3586075	40	12.020	0	0	-1.4	-3.5	11.154	10.952	12.474	12.053	11.995	12.479	0	1	0	1	1	0	0	0	0
092.171120000	+24.289032300	572-024580	092.1711200	+24.2890323	135	14.742	5	0			14.217	13.647					0	0	0	0	0	0	0	0	0
092.172421500	+24.389335600	572-024583	092.1724215	+24.3893356	87	14.404	0	0	-2.9	-6.0	13.142	12.686	15.769	14.830	14.496	14.944	0	0	0	0	0	0	0	1	0
092.172934200	+24.325730600	572-024584	092.1729342	+24.3257306	132	15.579	0	0	0.7	-3.1	14.418	14.094					0	0	0	0	0	0	0	1	0
092.174175300	+24.284470600	572-024586	092.1741753	+24.2844706	41	14.611	0	0	7.7	-2.4	13.349	12.897	15.700	14.842	14.560		0	0	0	0	1	0	0	0	0
092.174260900	+24.317879800	572-024587	092.1742609	+24.3178798	105	14.474	0	0	6.4	-72.4							0	0	0	0	0	0	0	1	0
092.175274800	+24.319724800	572-024589	092.1752748	+24.3197248	150	14.713	0	0	73.2	60.9							0	0	0	0	0	0	0	1	0
092.177280900	+24.299267000	572-024591	092.1772809	+24.2992670	25	10.231	0	35	0.6	-4.2	9.904	9.889	10.346	10.175	10.219	10.623	3	8	0	8	2	0	0	0	0
092.178433000	+24.301582300	572-024593	092.1784330	+24.3015823	33	13.566	0	35	7.0	6.2	11.538	10.823					0	0	0	0	2	0	0	0	0
092.179438900	+24.395253400	572-024595	092.1794389	+24.3952534	20	11.048	0	0	1.6	-3.5	10.525	10.463	11.261	11.013	11.050	11.645	3	1	0	1	1	0	0	0	0
092.179580900	+24.318797300	572-024596	092.1795809	+24.3187973	25	11.770	0	0	-0.5	-4.0	10.990	10.792	12.252	11.820	11.775	12.277	3	1	0	1	1	0	0	1	0
092.181514500	+24.331335000	572-024598	092.1815145	+24.3313350	291	16.437	0	0	34.9	0.9	15.195	14.759					0	0	0	0	0	0	0	1	0
092.182758600	+24.286539800	572-024600	092.1827586	+24.2865398	30	14.123	0	0	2.3	-6.0	12.874	12.452	15.335	14.451	14.195	15.107	0	0	0	0	1	0	0	0	0
092.182781500	+24.333409200	572-024601	092.1827815	+24.3334092	188	15.029	0	0	6.0	10.4	14.678	14.588					0	0	0	0	0	0	0	1	0
092.183613300	+24.293301700	572-024602	092.1836133	+24.2933017	69	14.043	0	0	5.0	-4.3	12.635	12.209					0	0	0	0	1	0	0	1	0
092.184632700	+24.379739800	572-024603	092.1846327	+24.3797398	91	15.086	0	0	0.7	-2.2	13.650	13.044	16.728	15.230	14.966		0	0	0	0	0	0	0	1	0
092.184675000	+24.290397800	572-024604	092.1846750	+24.2903978	85	14.366	0	0	-1.2	-6.2	13.476	13.186	15.028	14.467	14.363		0	0	0	0	1	0	0	1	0
092.184784200	+24.282916700	572-024605	092.1847842	+24.2829167	30	13.864	0	0	-2.4	-0.5	12.914	12.623					0	0	0	0	1	0	0	0	0
092.186019800	+24.317928900	572-024606	092.1860198	+24.3179289	52	12.175	0	0	1.3	-3.5	10.022	9.256	14.065	12.548	12.085	12.597	0	0	0	0	1	0	0	1	0
092.187033900	+24.381261200	572-024610	092.1870339	+24.3812612	133	15.137	0	0	3.9	-2.4	13.793	13.130		15.703	15.300		0	0	0	0	0	0	0	1	0
092.187313000	+24.290411700	572-024611	092.1873130	+24.2904117	361		5	0			14.642	14.219					0	0	0	0	0	0	0	0	0
092.187910900	+24.332265000	572-024614	092.1879109	+24.3322650	46	14.620	0	0	6.4	1.1	13.120	12.585	15.866	14.886	14.602	14.829	0	0	0	0	0	0	0	5	0
092.191058000	+24.306243400	572-024617	092.1910580	+24.3062434	109	15.433	0	0	0.0	-1.4	13.834	13.358	17.008	15.987	15.470		0	0	0	0	0	0	0	1	0
092.191997400	+24.382231200	572-024618	092.1919974	+24.3822312	42	14.396	0	0	-3.8	-4.3	13.420	13.159	14.962	14.549	14.419	14.344	0	0	0	0	1	0	0	1	0
092.193156800	+24.352279500	572-024620	092.1931568	+24.3522795	113	15.796	0	0	-18.8	-3.5	14.257	13.756	17.306	15.994			0	0	0	0	0	0	0	1	0
092.195207400	+24.396220000	572-024621	092.1952074	+24.3962200	30	11.736	0	0	-5.3	-6.9	10.805	10.549	12.391	11.841	11.720	12.140	0	1	0	1	1	0	0	1	0
092.198208900	+24.311428900	572-024627	092.1982089	+24.3114289	71	14.002	0	0	-1.9	-11.3	12.872	12.456					0	0	0	0	1	0	0	1	0
092.199445900	+24.295559500	572-024629	092.1994459	+24.2955595	37	10.737	0	0	-0.1	-4.4	10.318	10.308	10.883	10.699	10.720	11.329	3	1	0	1	1	0	0	1	0
092.199620600	+24.336357300	572-024630	092.1996206	+24.3363573	87	13.610	0	0	-3.7	-5.1	12.502	12.170	14.485	13.815	13.612	14.010	0	0	0	0	1	0	0	1	0
092.200073000	+24.352488400	572-024631	092.2000730	+24.3524884	30	11.635	0	0	1.1	-4.0	11.065	10.962	11.898	11.608	11.628	12.208	0	1	0	1	1	0	0	1	0
092.200394200	+24.316858400	572-024632	092.2003942	+24.3168584	105	14.868	5	0			13.241	12.448					0	0	0	0	0	0	0	0	0
092.200631800	+24.313791700	572-024635	092.2006318	+24.3137917	22	11.333	0	0	1.0	-2.1	10.711	10.600	11.590	11.301	11.317	11.877	3	1	0	0	1	0	0	1	0
092.201578600	+24.290636400	572-024636	092.2015786	+24.2906364	63	12.182	0	0	0.4	-3.1	11.418	11.243	12.790	12.512			0	1	0	1	7	0	0	7	0
092.202545600	+24.310777300	572-024638	092.2025456	+24.3107773	141	15.956	5	0			14.956	14.505					0	0	0	0	0	0	0	0	0
092.202726500	+24.308639800	572-024639	092.2027265	+24.3086398	307	15.792	0	0	72.0	31.0	14.902	14.489					0	0	0	0	0	0	0	1	0
092.203334800	+24.298100300	572-024641	092.2033348	+24.2981003	310	16.222	5	0			14.704	14.343					0	0	0	0	0	0	0	0	0
092.204303300	+24.357758100	572-024643	092.2043033	+24.3577581	244	16.313	0	0	5.6	10.3	15.041	14.443					0	0	0	0	0	0	0	1	0
092.206353900	+24.307512300	572-024646	092.2063539	+24.3075123	88	15.878	0	0	-23.1	-18.9							0	0	0	0	0	0	0	1	0
092.207095300	+24.354891700	572-024649	092.2070953	+24.3548917	121	15.606	5	0			14.210	13.791					0	0	0	0	0	0	0	0	0
092.207178300	+24.350335300	572-024650	092.2071783	+24.3503353	202	15.895	0	0	-5.2	-11.4	14.514	14.039					0	0	0	0	0	0	0	1	0
092.207230000	+24.370041700	572-024651	092.2072300	+24.3700417	91	14.654	0	34	-8.0	-2.0	13.009	12.616	15.804	14.814	14.583	15.023	0	0	0	0	2	0	0	2	0
092.208223900	+24.304300300	572-024654	092.2082239	+24.3043003	122	14.538	5	0			14.076	13.731	16.585	15.624	15.282		0	0	0	0	0	0	0	0	0
092.208815600	+24.308168700	572-024655	092.2088156	+24.3081687	33	12.371	0	0	-0.5	-4.1	10.251	9.536	14.070	12.741	12.283	12.219	0	0	0	0	1	0	0	1	0
092.209559500	+24.357767300	572-024656	092.2095595	+24.3577673	26	13.862	0	0	-2.1	-8.1	12.756	12.385	14.983	14.308	14.145	15.018	0	0	0	0	1	0	0	0	0
092.210137100	+24.375152000	572-024657	092.2101371	+24.3751520	22	13.796	0	0	-2.2	-0.2	12.556	12.189	14.703	13.984	13.766	14.138	0	0	0	0	1	0	0	1	0
092.210338900	+24.327307000	572-024658	092.2103389	+24.3273070	138	16.014	0	0	12.2	-3.3	14.049	13.355					0	0	0	0	0	0	0	1	0
092.214320900	+24.398758900	572-024664	092.2143209	+24.3987589	107	16.076	0	0	-8.7	-3.7	14.400	13.874					0	0	0	0	0	0	0	1	0
092.215222400	+24.357140000	572-024665	092.2152224	+24.3571400	48	10.938	0	0	1.5	-4.3	10.498	10.465	11.053	10.860	10.930	11.554	3	1	0	1	1	0	0	0	0
092.217625000	+24.391138700	572-024668	092.2176250	+24.3911387	48	14.829	0	0	-0.7	-2.5	13.508	13.031					0	0	0	0	0	0	0	1	0
092.220295900	+24.328984200	572-024673	092.2202959	+24.3289842	25	11.877	0	36	0.2	-3.8	11.242	11.141	12.087	11.753	11.735	12.287	0	8	0	8	8	0	0	8	0
092.222047400	+24.330161400	572-024676	092.2220474	+24.3301614	30	13.626	0	35	3.0	-14.7	12.677	12.435					0	0	0	0	0	0	0	4	0
092.222532700	+24.384583900	572-024677	092.2225327	+24.3845839	23	12.772	0	0	1.8	-2.1	11.851	11.577	13.475	12.913	12.780	13.186	0	1	0	0	1	0	0	1	0
092.222540000	+24.362890900	572-024678	092.2225400	+24.3628909	253	16.289	5	0			15.340	15.225					0	0	0	0	0	0	0	0	0
092.224390300	+24.381550600	572-024682	092.2243903	+24.3815506	79	14.638	5	0			13.156	12.801					0	0	0	0	0	0	0	0	0
092.225695000	+24.369280300	572-024685	092.2256950	+24.3692803	17	10.920	0	0	0.9	-3.9	10.493	10.461	11.047	10.848	10.902	11.533	0	1	0	1	1	0	0	0	0
092.225747400	+24.360426700	572-024686	092.2257474	+24.3604267	227	16.312	5	0			14.852	14.310					0	0	0	0	0	0	0	0	0
092.228050000	+24.350294200	572-024687	092.2280500	+24.3502942	217	16.120	5	0			14.412	13.810					0	0	0	0	0	0	0	0	0
092.228224500	+24.347591400	572-024688	092.2282245	+24.3475914	165	16.099	5	0			15.003	14.473					0	0	0	0	0	0	0	0	0
092.228382700	+24.380759200	572-024689	092.2283827	+24.3807592	103	15.353	5	0			13.941	13.313					0	0	0	0	0	0	0	0	0
092.229466500	+24.315264200	572-024693	092.2294665	+24.3152642	81	14.358	5	0			11.706	10.707		14.188	13.737	13.865	0	0	0	0	0	0	0	0	0
092.230665000	+24.349278900	572-024696	092.2306650	+24.3492789	100	15.567	5	0			14.098	13.572					0	0	0	0	0	0	0	0	0
092.231096500	+24.354721400	572-024699	092.2310965	+24.3547214	101	15.572	5	0			14.264	13.897					0	0	0	0	0	0	0	0	0
092.231164800	+24.313003400	572-024700	092.2311648	+24.3130034	40	14.465	0	0	2.0	-2.1	13.057	12.627	15.361	14.367			0	0	0	0	1	0	0	3	0
092.231830600	+24.365479800	572-024701	092.2318306	+24.3654798	280	16.429	5	0			15.450	15.046					0	0	0	0	0	0	0	0	0
092.233242700	+24.392942500	572-024703	092.2332427	+24.3929425	43	13.778	0	35	-15.4	-14.6	12.755	12.460					0	0	0	0	8	0	0	8	0
092.234031200	+24.393712800	572-024704	092.2340312	+24.3937128	123	15.050	5	25			13.621	13.275	14.125	13.526	13.425	13.843	0	0	0	0	0	0	0	0	0
092.235416800	+24.353026400	572-024710	092.2354168	+24.3530264	103	15.290	5	0			13.993	13.693					0	0	0	0	0	0	0	0	0
092.235587400	+24.359863700	572-024711	092.2355874	+24.3598637	8	8.785	3	0	1.0	-4.5	7.982	7.991	8.919	8.819	8.902	9.250	7	1	0	1	1	0	0	0	0
092.236218900	+24.397844500	572-024712	092.2362189	+24.3978445	194	15.850	5	0			14.924	14.417					0	0	0	0	0	0	0	0	0
092.237525900	+24.362485000	572-024714	092.2375259	+24.3624850	186	14.582	1	0	-51.5	-67.8	15.028	14.619					0	0	0	0	0	0	0	1	0
092.238455600	+24.343238900	572-024717	092.2384556	+24.3432389	367	15.970	5	0			14.652	13.930					0	0	0	0	0	0	0	0	0
092.240726200	+24.396005600	572-024723	092.2407262	+24.3960056	26	10.456	0	0	1.2	-3.8	9.955	9.872	10.664	10.428	10.463	11.054	3	1	0	1	1	0	0	1	0
092.240803600	+24.344232000	572-024724	092.2408036	+24.3442320	74	15.281	0	0	54.6	-27.3	14.134	13.756	16.044	15.311			0	0	0	0	0	0	0	7	0
092.242342400	+24.328742800	572-024726	092.2423424	+24.3287428	59	15.004	0	0	4.0	-0.4	13.911	13.585	15.885	15.288	15.187		0	0	0	0	0	0	0	7	0
092.243132100	+24.386597500	572-024727	092.2431321	+24.3865975	80	14.570	5	0			12.289	11.426					0	0	0	0	0	0	0	0	0
092.245348600	+24.337947300	572-024732	092.2453486	+24.3379473	42	14.564	0	0	-4.7	-3.8	13.274	12.808	15.715	14.740	14.524		0	0	0	0	0	0	0	1	0
092.246072700	+24.342268900	572-024735	092.2460727	+24.3422689	44	14.960	0	0	-10.2	-2.7	12.798	11.979					0	0	0	0	0	0	0	1	0
092.246210600	+24.349971400	572-024736	092.2462106	+24.3499714	80	14.822	5	0			13.389	12.959	15.370	14.641	14.537	14.368	0	0	0	0	0	0	0	0	0
092.246735300	+24.332915000	572-024739	092.2467353	+24.3329150	40	14.607	0	2	-1.3	-6.7	13.304	12.900	15.528	14.905	14.572		0	0	0	0	0	0	0	2	0
092.248368600	+24.366534500	572-024743	092.2483686	+24.3665345	19	10.688	0	0	0.9	-3.8	10.256	10.237	11.097	10.903			3	1	0	1	1	0	0	0	0
092.248428300	+24.335681200	572-024744	092.2484283	+24.3356812	181	16.078	0	0	15.9	7.9	15.195	14.880					0	0	0	0	0	0	0	1	0
092.248473300	+24.387765300	572-024745	092.2484733	+24.3877653	72	14.943	9	0	-91.2	21.8	14.296	14.057	15.734	15.269			0	0	0	0	0	0	0	7	0
092.250065600	+24.373866200	572-024747	092.2500656	+24.3738662	21	13.258	0	0	0.6	-7.5	11.212	10.400	15.158	13.728	13.191	13.493	0	0	0	0	1	0	0	0	0
092.251477400	+24.387476700	572-024749	092.2514774	+24.3874767	115	15.879	5	0			14.124	13.654					0	0	0	0	0	0	0	0	0
092.252782100	+24.327382000	572-024752	092.2527821	+24.3273820	82	15.242	0	0	-9.1	6.6	13.002	12.174	16.781	15.583	15.093		0	0	0	0	0	0	0	1	0
092.253525000	+24.364898700	572-024755	092.2535250	+24.3648987	63	10.092	0	0	-2.7	-3.2	9.709	9.710	10.267	10.069	10.125	10.488	3	0	0	1	1	0	0	0	0
092.255964500	+24.360510300	572-024760	092.2559645	+24.3605103	144	15.290	5	0									0	0	0	0	0	0	0	0	0
092.258222400	+24.359302000	572-024764	092.2582224	+24.3593020	143	15.949	5	0			14.615	14.191					0	0	0	0	0	0	0	0	0
092.259080300	+24.374297500	572-024767	092.2590803	+24.3742975	26	10.588	0	0	-1.0	-3.9	10.166	10.149	10.709	10.525	10.591	11.212	3	1	0	1	1	0	0	0	0
092.259356200	+24.342713900	572-024768	092.2593562	+24.3427139	82	14.563	5	0			13.006	12.334					0	0	0	0	0	0	0	0	0
